term,VIF,status
zG,1.8151245631854067,defined
zG2,2.1303656795529697,defined
zRain24,1.3487675748565653,defined
zTemp,3.2783979289709086,defined
zPressure,1.69847871913794,defined
zG_zPressure,1.8367226378694392,defined
urban_binary,1.1294922511305945,defined
log_population,1.3166938960366188,defined
income_deprivation_rate,2.5768681000781486,defined
deprivation_gap_pct,3.6687795578255322,defined
morans_i,2.401150411491122,defined
year_2022,1.7359468809443601,defined
year_2023,1.7695809992242424,defined
year_2024,1.9423139493176755,defined
month_2,1.902855274247697,defined
month_3,1.9176779376280897,defined
month_4,2.161872215486008,defined
month_5,2.634475924764226,defined
month_6,3.288323970010591,defined
month_7,3.532177930038718,defined
month_8,3.454107362307998,defined
month_9,3.237237866016346,defined
month_10,2.5560079177549238,defined
month_11,2.2800965875328933,defined
month_12,2.1341768467677924,defined
