term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_temperature_sq,gust_low,gust_ramp
Intercept,0.3227481821184221,-0.00040524303740410304,0.0025099385935461291,-0.0012917220226819485,0.00029217175142495967,0.0018207948260912353,-0.025368910037394384,0.039110614719269222,-0.043105414778455566,0.037165771775564883,-0.0040364838548004574,-0.0038179177332581453,-0.0071011317961334761,-0.0056628619203425669,-0.0063746329133251263,-0.0084631633280353568,-0.011251508299910871,-0.013526779676719121,-0.01358784555132812,-0.013342429894467052,-0.01369763703734893,-0.01288020244753146,-0.010002632739548902,-0.0081185035230145128,-0.00068698937607100706,-0.00077258158808968854,-0.00026626311164160458
z_precipitation_24h_sum,-0.00040524303740412581,0.00050106365750866421,2.6042129274971118e-05,0.0002704057600387073,4.6944840905211318e-05,2.3692044863119335e-07,3.6311507939878159e-05,4.4629181208222722e-06,0.00011210041479005852,-0.00014440652276066581,2.5924343750260723e-05,-1.4011338487224611e-05,-7.9713088716913943e-05,0.00014032705055138034,0.0001415645372922017,8.1323015422665282e-05,-1.4592350858978002e-05,-7.8987622880979157e-05,-6.0934344484934633e-05,7.6049297103373269e-06,1.9359117255678693e-05,-0.00016767122499583518,4.6813083308393618e-05,9.4756609152815075e-05,3.2608674289228454e-05,-8.9806727137858304e-06,3.4569289809714937e-05
z_temperature_0h,0.002509938593546146,2.6042129274971115e-05,0.0011346961708039421,-8.2639155456296239e-05,3.120422154297998e-05,-1.4428442473656844e-05,-2.248157199993688e-06,-0.00023817897547362009,-0.00022551381780557239,0.00011363989571707701,-0.00030301182856588924,-0.00022965271883684782,-0.00056482461512289046,-0.00026117606908896877,-0.00058152489950214241,-0.00087486198244672954,-0.001638844291896984,-0.0025523941909107884,-0.0027454138117095849,-0.0026193632776914293,-0.0024956431404725829,-0.0018078584395581263,-0.00085862267826596669,-0.00032031523131551573,-0.00011262811946189575,-8.0998044511434956e-05,-1.3682736754937034e-05
z_pressure_msl_0h,-0.0012917220226819053,0.00027040576003870741,-8.2639155456295629e-05,0.0007459566189240241,-1.4906744910684469e-06,-2.3224002870188333e-05,2.5602750382586806e-05,0.00039548454550654329,-0.00013521591676871557,-8.8549463213938041e-05,7.2419839242448145e-05,0.00016875615767995405,0.00035443693450554057,0.00020625255549187074,0.00046005678033594373,0.00021632147875571962,0.00030364910259710943,0.0003852910619505409,0.00046872972926157911,0.00049521540971375752,0.00055191686731148051,0.00060946701785021169,0.00073807669757848656,0.00047988074438871052,2.3337163438481194e-05,4.577704057660177e-05,0.0001001025167066711
z_gust_pressure,0.00029217175142496493,4.6944840905211284e-05,3.1204221542979947e-05,-1.4906744910686582e-06,0.0004210250571917888,3.8996324175816669e-06,1.2101200752472281e-05,0.00020781826759212635,2.4126323331560099e-05,-5.522717992017442e-05,-3.0591031975401092e-05,-3.0077524535764992e-05,-0.00018592897374722502,2.6039364257314696e-05,3.3769121864196156e-06,-1.9734130487328639e-05,-0.00015788377791000206,-0.00014603686331161436,-0.00014575002335042179,-0.00015131904054407501,-0.00020466500118092697,-0.00017488201366652907,2.8107528415470062e-05,-9.9948279155881881e-05,1.3180878904876157e-06,-3.1467033109342594e-05,0.00020964330026353151
urban_binary,0.0018207948260911347,2.3692044863156303e-07,-1.4428442473655839e-05,-2.3224002870189078e-05,3.8996324175823115e-06,0.0020888327757914316,-0.00024909968195915247,-0.0021103334943007178,0.00013235325195545719,-0.001100488149608085,1.8316865114723554e-05,4.5352453304342985e-05,-1.6413376385105293e-05,7.39324692015369e-05,-3.1576430421335391e-05,-2.1464447496882913e-05,-1.3940560041219616e-05,6.2449470957392657e-05,0.00010579849760779276,4.974331286040478e-05,-5.5240617064426746e-06,3.8353815837747101e-05,-1.523613041323058e-05,9.1310684285403403e-07,1.0869260167529086e-06,1.0414329546674553e-05,2.7003276165331572e-05
log_population,-0.025368910037394381,3.6311507939876281e-05,-2.2481571999920714e-06,2.5602750382590137e-05,1.2101200752472749e-05,-0.00024909968195916142,0.0021499312683310335,-0.0039670283187159218,0.0021246898787955055,-0.002750472914860832,6.5139344618112937e-05,5.1339007811382296e-05,-8.3774713269179184e-07,3.2692270549130555e-05,1.5153499183292643e-06,3.1344628139143419e-06,4.740148925381429e-05,8.9628223839734403e-05,9.9481611198004715e-05,5.2587141606426078e-05,8.5105027086242868e-05,0.00012772971152110249,0.00010395468064058109,7.6375675072240756e-05,1.2570430982029858e-05,1.3584560220775632e-05,2.7047278407850363e-05
income_deprivation_rate,0.039110614719265101,4.4629181208374485e-06,-0.00023817897547354043,0.00039548454550651267,0.00020781826759208301,-0.0021103334943006224,-0.0039670283187155523,0.70784374595514299,-0.24973099510482555,0.0045223822425376333,-0.00039192495308401317,2.9196922131396645e-05,0.0012419892393729915,0.00071458107249972003,-0.0011940075712884642,0.00045455231277384821,0.00035191254644005571,0.00083346555994704742,0.00058675220741970702,0.00097419926637542272,0.001800120777573809,8.1711169600022046e-05,0.0015255168733261269,-0.0003179817252314585,0.00018237065894896099,7.6978335097333227e-06,0.00045678976726841691
deprivation_gap_pct,-0.043105414778453463,0.00011210041479005011,-0.00022551381780559922,-0.00013521591676870725,2.4126323331582119e-05,0.0001323532519553907,0.0021246898787953242,-0.24973099510482649,0.21035519745165387,-0.047457777212026833,0.0006670488864412114,9.8831650095078413e-05,-0.00029220651090952388,-0.0001166723522782562,5.9108270781593752e-05,-0.00094904410025047233,8.3760298236979516e-05,-0.00023958457537342275,0.0003468515615275873,-0.00018368184989140933,-0.00031531438001142253,0.00037283793989510635,-0.00056213167315800265,-0.00017580181548516755,8.8349985342180154e-05,4.6608280726645284e-05,-8.9447543245306459e-05
morans_i,0.037165771775563787,-0.00014440652276066183,0.00011363989571706722,-8.8549463213938e-05,-5.522717992017856e-05,-0.0011004881496080637,-0.002750472914860747,0.0045223822425387019,-0.047457777212027277,0.034863533095407059,-0.00017054550879007095,-5.3683465699495793e-05,-0.00011434151156234683,-0.00022188254036515861,6.8674037524599937e-05,8.5996974671288158e-05,-0.00020703088769278086,-0.00021195571292356919,-0.00041460909834878005,-0.00015819554418055571,-0.00021190638007929669,-0.00031900406191714812,-0.00040595994422136647,-0.00017136912217625728,-5.6860487230241092e-05,-2.445867232233399e-05,-1.4386272273432025e-05
