term,coef
Intercept,6.6822484181489701
z_precipitation_24h_sum,0.02215450754275216
z_temperature_0h,0.060420154073170362
z_pressure_msl_0h,-0.099869674318841598
z_gust_pressure,-0.041095745047300153
urban_binary,-0.16302603466966445
log_population,-0.12241506882495214
income_deprivation_rate,-4.2131850627474483
deprivation_gap_pct,-0.46466505348535392
morans_i,0.43507684564401056
incident_year[2022],0.13372454546896248
incident_year[2023],0.078994750558299423
incident_year[2024],-0.097934999893377048
incident_month[2],0.090249571028519882
incident_month[3],0.10590814758676907
incident_month[4],-0.013295898064508548
incident_month[5],0.0095527108423319393
incident_month[6],0.080801565697939989
incident_month[7],0.06820202905535673
incident_month[8],0.03179156701366706
incident_month[9],-0.094956318483615715
incident_month[10],-0.190140327670931
incident_month[11],-0.12331085343213349
incident_month[12],0.011514374061651397
z_temperature_sq,0.058973659285580439
gust_low,-0.040364971529262585
gust_ramp,0.078240298236736686
