term,coef
Intercept,6.7950686257096233
z_precipitation_24h_sum,0.023449784146962402
z_temperature_0h,0.054204936108605196
z_pressure_msl_0h,-0.096464703305117083
z_gust_pressure,-0.045645355168132985
urban_binary,-0.16546149889110806
log_population,-0.13225231188712491
income_deprivation_rate,-4.1889107129095571
deprivation_gap_pct,-0.4369505026220466
morans_i,0.45688419598360491
incident_year[2022],0.11959627534791935
incident_year[2023],0.06622366006814942
incident_year[2024],-0.12078121601101047
incident_month[2],0.078224289242447231
incident_month[3],0.12579201230787068
incident_month[4],-0.0011135984926348536
incident_month[5],0.00016557580665003903
incident_month[6],0.086503774179564105
incident_month[7],0.064162530523764971
incident_month[8],0.047820594280479647
incident_month[9],-0.094491193808088653
incident_month[10],-0.20546247974219997
incident_month[11],-0.13132548754280146
incident_month[12],0.0087281728245478408
z_temperature_sq,0.05305257109542752
gust_low,-0.039297127031322793
gust_ramp,0.07562821856636405
alpha,4.7032069592188428
