term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_temperature_sq,gust_low,gust_ramp
Intercept,1.1141697433675477,0.0057600271147255234,0.0061313128278421662,0.00050962941215857511,0.00015965348218420033,0.0067508149610892377,-0.095250221702381163,-0.10149460456618646,-0.067600001804601156,0.13547341226524429,0.010876901799359092,0.01698107733243566,0.018061594154985847,0.01146727101996222,-0.011195348838545637,-0.0036060287055141743,0.00020304233544296514,0.0053450686076359369,-0.0095967554646557689,-0.040647078534892571,0.01049074921253379,0.0090998010398812088,0.0069616633702876528,-0.002316758484849996,0.0016557322710276559,0.00058466093630476753,-0.0020123896502189272
z_precipitation_24h_sum,0.005760027114725408,0.00066795544368251686,4.7435427275373207e-05,0.00011848113436653306,6.9412426991630146e-06,-0.00033706948418112847,-0.00055648007291721083,0.0078835770701790198,-0.0032308051253186836,0.0022804647730805317,0.00017258330681634132,0.00027846297508673986,0.00014242771823301927,0.00052490568746900923,0.00017805023245802642,0.00068892671606455148,0.00070609173749153014,0.00061127500924737391,0.00067578760021207195,0.00027304624072749343,0.00016849720107552381,0.00058092412296545403,0.00034732361319222765,0.0004929773391834499,4.3848307951369074e-05,-8.2489332304995847e-06,-1.9681890835272936e-05
z_temperature_0h,0.0061313128278402294,4.7435427275374657e-05,0.0010542662859913882,-4.0384209122897071e-05,3.2871137382688055e-05,-4.6930511891855414e-05,-0.00045591635008654569,0.0024166986982840574,0.0039095840488257583,-0.0016831879031382591,0.00053586414419555344,0.00032354774746328526,0.00013727174023009714,-0.0002449317930212731,0.00070685487340143313,0.00024652657225353086,-0.0004828488672407005,-0.0013812426203973121,-0.0020628765240514246,-0.002601635638277023,-0.0010671437646199756,-0.0011152732960886215,-6.3692013193909005e-05,0.0001562728969495297,-5.0001780986669329e-05,-0.00011736452182377737,7.3144247895499258e-06
z_pressure_msl_0h,0.00050962941215755596,0.00011848113436653441,-4.0384209122908306e-05,0.0004104184179589434,-7.119629154905862e-06,-0.00021534020062214388,-0.00013780865053212188,-0.0062718139394657832,0.003654986803039416,-0.0010355400334402525,0.00027033210679199856,0.00064635502154912635,0.00087585440318388159,0.00021551519117760521,7.4402775866586835e-05,0.00045128177329357126,0.0003705286554821968,0.00058286590560136485,0.0003234399750485873,0.00048206004313036931,0.00019973247380158536,0.0004719105024697696,0.00053668092366457548,0.00040736103664302332,2.9741530853908234e-05,4.2511306533914849e-05,7.7288124412128802e-05
z_gust_pressure,0.00015965348218362023,6.9412426991636541e-06,3.2871137382686469e-05,-7.1196291549042442e-06,0.00015514096593964894,-4.0381518752228583e-05,-8.9567690156935865e-06,0.004574131864162452,-0.0014556042310733307,-0.00040138111264909326,0.00022861560712423499,7.0868900874856999e-05,2.2656128347806922e-05,0.00017887806633153463,0.00033331717214442937,-0.00016832019611473224,0.00021141576225630984,0.00011237768077472278,-0.00014645757323992047,-0.00010597895217546178,-5.946917902546698e-05,-5.7330323574704914e-05,0.0001427966430671548,-5.405706681850389e-05,1.6536530671307155e-05,-1.6776135098873779e-05,9.633499800349231e-05
urban_binary,0.00675081496108987,-0.00033706948418112825,-4.6930511891831447e-05,-0.00021534020062213347,-4.0381518752225473e-05,0.0045627297512651098,-0.0004684018907736325,-0.0099327305678911914,0.0008874355096540155,-0.0048937236993205147,-0.00036811542102022218,-0.00049485892298476363,-0.001412899074191186,-0.0010314682180180721,0.00021854986179353523,-0.0015133678158984641,-0.00098568929000284367,-0.0010915779612013169,-0.0012649977167902124,-0.00059736969147308717,-0.0010979225518049222,-0.00072862457698969114,-0.00034109980898555973,-0.0016582275279127265,4.1727881184772111e-05,-3.3382126138588689e-06,-6.8289832387029444e-05
log_population,-0.095250221702406046,-0.00055648007291718264,-0.0004559163500866713,-0.00013780865053220206,-8.9567690157138966e-06,-0.00046840189077376824,0.0083632999834170763,0.005373192486914191,0.00166772828279377,-0.010773721470635251,-0.001107461076490755,-0.0018810567317363784,-0.0022368581097666298,-0.001411059498237516,0.0006684036714155998,-0.00011333468044848755,-0.0007346681044522748,-0.0012067306798752065,0.00013245115535578247,0.0030394362512232037,-0.0014535084263517463,-0.0014825497312773875,-0.0011668872745239636,-0.00055997409597270187,-0.00017702601220207943,-0.00011240779956971119,0.00017624824520848077
income_deprivation_rate,-0.101494604566138,0.0078835770701789522,0.0024166986982841563,-0.0062718139394656956,0.0045741318641626299,-0.0099327305678905686,0.0053731924869154409,3.1380883726404023,-1.2161151855475043,0.078883907429627143,0.022934174976660008,0.0014471741405532679,-0.023060368738090187,0.0099861368046433273,0.061996679245553528,-0.01952770982563122,0.0071435115304351229,0.0040853806737049967,0.01022088709315226,-0.018879671963839287,-0.0074818146473892878,-0.014071537212899428,-0.0015025461712419108,0.017550925402710801,-0.0028751364278917727,0.0012878717678458957,-0.00082277018777875219
deprivation_gap_pct,-0.067600001804656501,-0.0032308051253185973,0.0039095840488253923,0.0036549868030393957,-0.001455604231073412,0.00088743550965344597,0.0016677282827962257,-1.2161151855475005,0.8905379785294828,-0.20663361751313269,-0.010588428049493682,0.0030480783166602766,0.015858563882978294,-0.0036412354563723948,-0.011076395838364769,0.016274557739791147,0.0021515995774545938,-0.0034738334639734547,-0.011094664438611996,0.0047398685869860097,0.00014924798246614899,0.0089752662993565508,0.0057863701531570251,0.0044838033326468204,0.00034624390327014882,-0.00079738189210290869,0.00068469692674136783
morans_i,0.13547341226527546,0.0022804647730805022,-0.0016831879031377786,-0.0010355400334402438,-0.00040138111264900988,-0.0048937236993204999,-0.010773721470635211,0.078883907429629849,-0.20663361751313444,0.1488417665103558,-0.0013584394674036003,-0.0020415538536032846,-0.00054424500979423612,0.0048457692191444125,-0.0075017557137992815,0.00054457977847238779,0.0023930211351817824,0.0042999503276190416,0.0077699045324107234,0.0026555263456381185,0.0051924815743296824,0.001647875595688744,-0.0019789600113870576,0.00070995685950753836,0.00036320251322599368,0.00044381089262174615,-0.0007626731095958251
