term,coef
Intercept,2.2881030019952973
z_gust_0h,0.034317885114530627
z_precipitation_24h_sum,0.023066586679517592
z_temperature_0h,-0.032568703299607239
z_pressure_msl_0h,-0.039746472874683365
z_gust_sq,0.058842481215274939
urban_binary,0.16236674917814717
log_population,-0.010122033945051356
income_deprivation_rate,-0.34534265504882172
deprivation_gap_pct,0.39548175828928606
morans_i,0.30475210201013186
incident_year[2022],0.10256217245931055
incident_year[2023],-0.023401582343173376
incident_year[2024],-0.22663797983190179
incident_month[2],0.59703378933255125
incident_month[3],-0.020726420828035507
incident_month[4],-0.12610493600769568
incident_month[5],-0.15583006465995144
incident_month[6],-0.028123996268768669
incident_month[7],-0.091685932267751125
incident_month[8],-0.05805373251263609
incident_month[9],-0.074708041344323975
incident_month[10],-0.13220803725344651
incident_month[11],-0.13213773583323957
incident_month[12],-0.067203909549606283
z_customers_v2_log1p,-0.14524045405797875
z_cust_sq,-0.072968375758570334
z_temperature_sq,0.011998677086590723
z_gust_precip,-0.024837838444169293
