term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_temperature_sq,gust_low,gust_ramp
Intercept,0.30328318704618656,0.002537896393432671,0.00043885383238312804,0.00016547098229061777,0.00046421246664815841,0.00071997282960112275,-0.025525362814808397,-0.10075794267321898,0.001073381502802591,0.042120212363312863,0.0016554579250600094,0.0065363695647657144,0.0035931288835983682,5.6732872942614127e-05,-0.010743539308130374,-0.0069514169266502697,0.00037076748224150978,-0.0015967610287460562,-0.0022347790107011215,-0.015330023099291186,-0.00026041213262231489,0.0025594990916913843,-0.0030626466896062229,-0.0013903370051286405,0.0010906031801079519,-6.3384602233066287e-05,-0.0002330784224843055
z_precipitation_24h_sum,0.0025378963934327091,0.00090582786204155652,2.2792151377307731e-05,0.00026725755099102209,4.6286635850361272e-05,-3.4151047133239747e-05,-0.00023851635865163693,0.0039453227669617053,-0.00085974065836477416,0.00059386042162163234,0.00023636170338840924,0.00022874310243964103,-6.3048010602229174e-05,0.00049357405331089919,-2.3181649713764621e-05,0.00026588734336817712,0.00013193213301839014,-9.8000077062941474e-05,-6.7095641110521298e-06,-0.0002521842755087667,-1.2750393512773272e-05,0.00030205245932668701,4.8595821877250567e-05,1.6343467875786548e-05,5.3134599813032803e-05,-2.5758229488612578e-05,-1.6043639802304891e-05
z_temperature_0h,0.00043885383238260578,2.2792151377308845e-05,0.0011532102280271636,-4.3924403561241839e-05,3.7229760221779685e-05,3.0615363698148649e-05,0.0001245616470184043,0.0087441213299584986,-0.0021677296764057441,-0.00083862044684119164,0.00013245279172054231,-7.6328384470858679e-05,-0.00038350943885769284,-0.00051108172504512911,0.0003197747207895049,-0.00072368893167314163,-0.0017404775969985615,-0.0025447383395380907,-0.0024909154722261152,-0.0030096446112010161,-0.0023793568746694267,-0.0017970601436280325,-0.00083697314185568689,-0.00028552708005360214,-0.00010282739981780133,-6.3084434204675505e-05,-4.3414841732666578e-06
z_pressure_msl_0h,0.00016547098229034233,0.00026725755099102193,-4.3924403561242856e-05,0.00067808615341955402,-4.0829254274980389e-05,-8.5966262372113751e-05,-0.00010786627108606164,4.3254762555296342e-05,0.00032440982273686302,-0.00034263454161220997,0.00023470943370633966,0.00042070633198004563,0.00082423156822536902,0.0001915407151014625,0.00031726341116938389,0.00053987086418080484,0.00041580941642192136,0.00044263044344837536,0.00039161242682044352,6.910147376353898e-05,0.00047903849321655477,0.00078399618438757652,0.00084254264096032664,0.0006247003678373675,1.6652499774109063e-05,3.3490839535170095e-05,8.2930245127103654e-05
z_gust_pressure,0.00046421246664821511,4.6286635850361076e-05,3.7229760221778926e-05,-4.0829254274980511e-05,0.00031101267104195187,6.6324638126707087e-06,1.2935575101706412e-05,0.00049866646383980417,0.00021660519954595756,-0.00017681385877126089,-2.7241134146853713e-05,-7.2304364253778471e-05,-0.00023423918123602054,-0.00020975119655353524,-0.00012044484303258241,-0.0004076049591788332,-0.0003057294485676318,-0.00033053656801925813,-0.0004268724077812304,-0.00022377684086248952,-0.00040889939817653634,-0.00032741516659778245,-0.00022863428573659659,-0.00037458818003348408,-1.478481927462346e-06,-3.4874650028324622e-05,0.0001954195356810412
urban_binary,0.0007199728296001203,-3.4151047133238771e-05,3.0615363698149211e-05,-8.596626237210879e-05,6.632463812669644e-06,0.0015110394312785322,-0.00013836638149520086,0.0021554663940998868,0.00088184119589019704,-0.001878574441580442,-4.5864642953959652e-05,-0.00011902292427983396,-0.00021794854587250855,4.6046315370854024e-05,-3.4336335870043513e-05,0.00016104901664301533,-0.0002404403312315941,-0.00023312447446950551,-3.3283834445462001e-05,-2.1805273878128718e-05,0.00020894432057224287,-6.1431075309178695e-05,-9.6854384277889489e-05,0.0001715014855236462,-3.6664597491405012e-05,1.4020589183361841e-05,-4.9942925163057066e-07
log_population,-0.025525362814809625,-0.00023851635865163262,0.00012456164701832298,-0.00010786627108607278,1.2935575101708261e-05,-0.00013836638149527288,0.0022924345024153696,0.0080004859061873976,-0.0006970081411924084,-0.0035166589751118695,-0.00035830085373739473,-0.00083367788151565182,-0.00087416310106755793,-0.00052637800518440497,0.00046241551150948839,-0.00010333024296026966,-0.00090169121279014427,-0.00085451286937604292,-0.00075687231949817684,0.00051865104020823991,-0.00094522676485956031,-0.0011579756323278584,-0.0004919958916180608,-0.00060214332655445565,-0.00014347491562087305,-4.1635197371940687e-05,4.0107345751362939e-05
income_deprivation_rate,-0.10075794267323239,0.0039453227669617053,0.0087441213299587327,4.3254762555333016e-05,0.00049866646383980265,0.00215546639410001,0.0080004859061881192,1.4516615107143955,-0.49206143954282061,-0.0031836949410441735,0.015868921069857041,-0.0039605892805835621,-0.024083821920403314,-0.0038056286935826528,0.048173017997398655,-0.0094629833312648622,-0.02646315540671244,-0.025969228781116922,-0.024791901505570535,-0.040930418338621918,-0.036207443972821066,-0.023881036029896732,-0.019406079312443689,-0.015697925041376175,-0.0019981646660429263,0.00033985483976378342,-0.0016680515144701714
deprivation_gap_pct,0.0010733815028012975,-0.00085974065836475193,-0.0021677296764059228,0.00032440982273690319,0.00021660519954595959,0.00088184119588995103,-0.00069700814119245502,-0.492061439542821,0.26392532833483012,-0.046546529408666729,-0.0057789250228399355,0.00045399802575144438,0.0066460528489352818,0.00053228944208832886,-0.014018139444863664,0.0045438643589804902,0.0066445121017332425,0.0067177339822413638,0.0036154316235289257,0.0140423054764646,0.012812296696728736,0.0076215276500793934,0.0061121112010726368,0.005605876926957706,9.4827100390556648e-06,-0.00048247879002234024,0.00097510051602986262
morans_i,0.042120212363315167,0.00059386042162161879,-0.00083862044684107834,-0.00034263454161221788,-0.00017681385877126127,-0.0018785744415802776,-0.0035166589751120252,-0.0031836949410425481,-0.046546529408666416,0.039059349377033911,-0.00010351784790613848,0.00073027373977644337,0.00072830121350181474,0.0016884720969265047,-0.0018207398771746444,-0.0015766675785308833,0.0026053514666773726,0.0021669049574266196,0.0043404619157369822,0.0011688108774861789,0.0015259537895641112,0.0017936175993894198,-7.7991832961419206e-05,0.00011994598445045406,0.00055703704152931387,0.00020971300848031098,-0.00028889452493857328
