term,Intercept,z_precipitation_24h_sum,z_temperature_0h,z_pressure_msl_0h,z_gust_pressure,urban_binary,log_population,income_deprivation_rate,deprivation_gap_pct,morans_i,incident_year[2022],incident_year[2023],incident_year[2024],incident_month[2],incident_month[3],incident_month[4],incident_month[5],incident_month[6],incident_month[7],incident_month[8],incident_month[9],incident_month[10],incident_month[11],incident_month[12],z_temperature_sq,gust_low,gust_ramp,alpha
Intercept,0.069480049465538457,-0.00012773517925795131,0.00052829393822015184,-0.00030906162534690475,3.2187112917505548e-05,0.00043965118546992804,-0.0054237740626786593,0.0074683039891421171,-0.008403397289107448,0.0073648690965946971,-0.0010283381534455316,-0.0010387681323095084,-0.0016059517022266965,-0.0012575925476159759,-0.0013232391725385567,-0.0016861398199989671,-0.0025096123368331504,-0.0030148015296567279,-0.0029694445818119856,-0.0029011436167098083,-0.0030721016676455173,-0.0029739818902121315,-0.0022102230967307539,-0.0017526865121059514,-0.00017188080849358037,-0.00018233530824403557,-8.3498886838261334e-05,9.9086436388110653e-08
z_precipitation_24h_sum,-0.0001277351792579574,0.00010720521634326588,7.0162403324158924e-06,6.2625885257495934e-05,1.0004281247859585e-05,2.1781137062438717e-06,1.1559101221009109e-05,-4.7606245504761294e-05,3.9464238273829832e-05,-4.6528526833614093e-05,4.2981614285195997e-06,-5.9749041442279323e-06,-1.1908254599588853e-05,1.9157480352277214e-05,3.5136588716919321e-05,1.1467714350319417e-05,-1.0188671813273055e-05,-1.8072959834758443e-05,-1.6349158865453059e-05,-1.4442151857039282e-06,3.5004579869297843e-06,-4.3641032517015147e-05,2.0713205069165652e-05,2.1946156795795544e-05,7.1430553916603053e-06,-1.6611829849822033e-06,8.0519976980489306e-06,1.692067997601827e-10
z_temperature_0h,0.00052829393822017168,7.0162403324158737e-06,0.00024194424021662571,-1.9084237048994572e-05,6.047884038405041e-06,-2.2753144426920117e-06,-6.7331225024202785e-07,1.6163513636253529e-05,-0.00010099354194054775,4.4740891580031499e-05,-6.8547094489216438e-05,-5.4411482574650865e-05,-0.0001219407001339809,-4.7791532741409205e-05,-0.0001244795470377971,-0.0001783447054667561,-0.00033586585364995874,-0.0005268370970405408,-0.00057515179326938137,-0.00053348194721451216,-0.0005265961723260272,-0.00037349304063676991,-0.00017132616753454786,-6.4275705742362137e-05,-2.0184891414455883e-05,-1.7037769545947073e-05,-3.2672294786132682e-06,-2.4330784190848322e-09
z_pressure_msl_0h,-0.0003090616253468951,6.2625885257495893e-05,-1.9084237048994477e-05,0.00016471005394418621,4.4393098381241991e-06,-4.2655711782230641e-06,8.7504697742009943e-06,0.00012610562462109134,-4.5445119700037855e-05,-2.2650096948996016e-05,1.9570222891608301e-05,3.322183212171842e-05,5.9286022524114716e-05,3.4672972421348193e-05,0.00011102486132462817,3.0423555408109976e-05,5.460059812309539e-05,8.2240045551957631e-05,0.00010406446989719525,0.00010272612648271546,0.00012063459147388529,0.00012838143094491417,0.00014993244457050072,9.2998447195697878e-05,5.6475963496619665e-06,9.0957071668842651e-06,2.4737191138969324e-05,5.3726338215385137e-10
z_gust_pressure,3.2187112917484162e-05,1.0004281247859636e-05,6.0478840384049843e-06,4.4393098381241914e-06,0.00011464052832234945,1.5066469591144893e-06,5.6721065728322446e-06,2.6663975733406871e-05,4.307052730146059e-06,-9.2516665197558033e-06,-9.1854220293762312e-06,-1.0752248938415122e-05,-4.1504396068864718e-05,1.2621766206195797e-05,9.2051860941870733e-06,5.4901641607278384e-06,-2.8593220222109844e-05,-2.478862321245433e-05,-1.8636242977716769e-05,-2.5960700770908562e-05,-3.8755657667148982e-05,-2.7348313476052421e-05,1.1611480833372594e-05,-1.2420031893251593e-05,-1.6867987557661169e-07,-7.4034953892987829e-06,5.4045043925704859e-05,-1.8749399835541751e-09
urban_binary,0.0004396511854699147,2.1781137062439318e-06,-2.2753144426923653e-06,-4.2655711782230472e-06,1.50664695911443e-06,0.00047002753437690338,-6.0840878020448021e-05,-0.00051121909741141057,0.0001045652276771666,-0.00022973723138619784,2.6623018152189125e-06,1.309218782614293e-05,-5.0847292275319103e-07,2.4109804203112279e-05,-1.206267990593791e-05,-1.8711383559205364e-06,-2.5727001537992637e-06,1.8839714457917897e-05,3.0217148704920772e-05,1.5504860752546237e-05,-3.8807102405330343e-06,1.4793068635477038e-05,4.0919288790448995e-06,1.7490779174351015e-06,1.3653190449176363e-07,1.9247301937955106e-06,6.4367812412864775e-06,-2.7805315759871265e-09
log_population,-0.0054237740626786489,1.1559101221008616e-05,-6.7331225024037466e-07,8.7504697742017499e-06,5.6721065728304963e-06,-6.0840878020448909e-05,0.00045613266565762336,-0.00073470888462043662,0.0003703782232389334,-0.0005295436805198379,2.7037857482769359e-05,2.9970685994959977e-05,1.0362237133091163e-05,1.6093946756929087e-05,9.6912347617715058e-07,-3.9199938410977279e-06,2.6188404817913424e-05,3.7431126055800483e-05,3.284402603224911e-05,1.8557890201134285e-05,3.3204228865357387e-05,4.9284570211997056e-05,3.2180626321279508e-05,2.4226383698735004e-05,4.978704766017758e-06,4.3192518109084612e-06,7.9828710779718088e-06,-7.9035446810626822e-09
income_deprivation_rate,0.007468303989143465,-4.7606245504761517e-05,1.6163513636265161e-05,0.00012610562462109009,2.6663975733445432e-05,-0.0005112190974114032,-0.00073470888462054461,0.13641017997301846,-0.048952362886617931,0.00034991437833696191,-0.00024190375036087352,1.1579913964691668e-05,0.00045973525132870694,0.00028285128436107617,-0.00050632301311017629,0.00025196082831768242,0.00012714656916127472,0.00017449126060114093,0.0001747817927259831,0.00048167933721176995,0.00067730095871640621,0.00011930208563039209,0.00063083181783407335,7.995018983865698e-05,3.6691258609623209e-05,-1.081607057431683e-05,0.000117262071959084,-4.972667925274316e-09
deprivation_gap_pct,-0.0084033972891082789,3.9464238273829792e-05,-0.00010099354194055607,-4.5445119700034453e-05,4.3070527301292615e-06,0.00010456522767715969,0.00037037822323899856,-0.04895236288661782,0.042906547138309742,-0.0097381559196273379,0.00024275424932191413,3.2014351144309141e-05,-0.00015311101554029555,-5.9537384180395588e-05,4.0471867143783156e-05,-0.0004211375159153794,3.6862440349065785e-05,-5.7078627109738119e-05,0.00013430751122809088,-0.000120863266781443,-0.00017846707285796881,0.0001326977136488479,-0.0001879439844008762,-9.524560083722817e-05,2.6658202589215241e-05,2.0271885430390312e-05,-2.5817140668214067e-05,1.0535494452376057e-08
morans_i,0.0073648690965946633,-4.6528526833613287e-05,4.4740891580030963e-05,-2.2650096948997419e-05,-9.2516665197529353e-06,-0.0002297372313861976,-0.00052954368051983519,0.00034991437833677483,-0.0097381559196272442,0.0072837796451394269,-5.0077121288789561e-05,-2.4343382311689556e-05,-4.6545416034424531e-05,-9.6962414982632768e-05,2.4338294485619019e-05,5.2623994135866124e-05,-0.00011506515842875025,-0.00010393267751239014,-0.00018074378455503417,-9.4248364123172826e-05,-9.7474595401692639e-05,-0.00014108755880638986,-0.00014331899808279816,-6.5570175302816585e-05,-1.9704194875311647e-05,-1.0340938128528561e-05,-8.4565402012554561e-07,2.8360265548206522e-08
