variable,VIF
z_gust_0h,2.238199705498012
z_gust_0h_sq,4.022572706186733
z_precipitation_24h_sum,1.4397334169652134
z_temperature_0h,3.118380056445987
z_pressure_msl_0h,1.903584017482414
z_gust_pressure,3.0821454493253944
urban_binary,4.556405164430574
log_population,42.94907477424879
income_deprivation_rate,23.124576739555195
deprivation_gap_pct,42.51985926449302
morans_i,8.251608872719597
z_log1p_customers_v2,1.9085847805217393
z_log1p_customers_v2_sq,2.977014846023459
incident_year[2022],2.9142828577187054
incident_year[2023],2.81778879222162
incident_year[2024],2.3985449153742695
incident_month[2],2.3435694846112227
incident_month[3],1.968510693106975
incident_month[4],2.0399049909997014
incident_month[5],2.514410965014877
incident_month[6],3.4222666751191344
incident_month[7],3.777068839216264
incident_month[8],3.190742002043628
incident_month[9],2.976417024317384
incident_month[10],2.8737367481830707
incident_month[11],2.4824841653760212
incident_month[12],2.342713662550138
