variable,VIF
z_gust_0h,1.9258647686355554
z_gust_0h_sq,3.0809315902422028
z_precipitation_24h_sum,1.4058274257749719
z_temperature_0h,1.026092976247271
z_pressure_msl_0h,1.7100610635956346
z_gust_pressure,2.6235988153804333
urban_binary,1.1646176556921908
log_population,1.3378276838543792
income_deprivation_rate,2.580871763969906
deprivation_gap_pct,3.7565164106142506
morans_i,2.5082864536103955
z_log1p_customers_v2,1.9020899278510242
z_log1p_customers_v2_sq,1.8857748829555145
