term,coef
Intercept,1.8077882763574389
z_gust_0h,-0.027798779624937452
z_precipitation_24h_sum,0.041289268978214229
z_temperature_0h,-0.057834909042173414
z_pressure_msl_0h,-0.037297780787634918
z_gust_sq,0.08913173551573482
z_gust_pressure,0.024374300571117051
incident_year[2022],0.099310865299576959
incident_year[2023],-0.0017156356623317167
incident_year[2024],-0.089850032178694431
incident_month[2],0.43657742155296891
incident_month[3],0.036872088454176798
incident_month[4],-0.025148813312958318
incident_month[5],-0.036877768201172924
incident_month[6],0.10650361938988144
incident_month[7],0.093737789842331651
incident_month[8],0.10454382745348252
incident_month[9],0.031393155578374611
incident_month[10],-0.0099994788235531953
incident_month[11],0.00073390380002105575
incident_month[12],0.056191406312487563
z_customers_v2_log1p,-0.19365076523442457
z_cust_sq,-0.12049471234909909
