fold,n_test,n_train,sse,rmse,k
0,8504,32673,12764.332460451998,1.225144819345549,22
1,8274,32903,10867.516917943787,1.146060129906519,22
2,8153,33024,11333.510100341511,1.1790263109307539,22
3,8108,33069,10931.920983129972,1.1611581424433337,22
4,8138,33039,10081.199105142123,1.1130053536794027,22
