model,gust_ms,pred_log
quad,2.200000047683716,2.3319342752284835
quad,2.327135725836059,2.322192892298142
quad,2.454271403988402,2.3126002414514155
quad,2.5814070821407453,2.3031563226883045
quad,2.7085427602930885,2.2938611360088093
quad,2.8356784384454317,2.2847146814129293
quad,2.962814116597775,2.2757169589006656
quad,3.089949794750118,2.2668679684720168
quad,3.217085472902461,2.258167710126984
quad,3.3442211510548043,2.2496161838655664
quad,3.4713568292071475,2.2412133896877644
quad,3.5984925073594907,2.232959327593578
quad,3.7256281855118334,2.224853997583007
quad,3.8527638636641766,2.216897399656052
quad,3.9798995418165197,2.209089533812712
quad,4.1070352199688624,2.201430400052988
quad,4.2341708981212065,2.1939199983768787
quad,4.361306576273549,2.1865583287843857
quad,4.488442254425893,2.179345391275508
quad,4.615577932578235,2.172281185850246
quad,4.742713610730579,2.165365712508599
quad,4.8698492888829215,2.158598971250568
quad,4.9969849670352655,2.151980962076153
quad,5.124120645187608,2.1455116849853524
quad,5.251256323339951,2.139191139978168
quad,5.378392001492294,2.1330193270545994
quad,5.505527679644637,2.126996246214646
quad,5.6326633577969805,2.121121897458308
quad,5.759799035949324,2.1153962807855855
quad,5.886934714101667,2.109819396196479
quad,6.01407039225401,2.1043912436909875
quad,6.141206070406353,2.0991118232691117
quad,6.268341748558696,2.0939811349308517
quad,6.3954774267110395,2.0889991786762074
quad,6.522613104863383,2.084165954505178
quad,6.649748783015726,2.0794814624177644
quad,6.776884461168069,2.0749457024139666
quad,6.904020139320412,2.070558674493784
quad,7.031155817472755,2.066320378657217
quad,7.1582914956250985,2.0622308149042654
quad,7.285427173777442,2.05828998323493
quad,7.412562851929785,2.0544978836492094
quad,7.539698530082128,2.0508545161471043
quad,7.666834208234471,2.0473598807286155
quad,7.793969886386814,2.0440139773937416
quad,7.9211055645391575,2.040816806142483
quad,8.0482412426915,2.0377683669748405
quad,8.175376920843844,2.034868659890814
quad,8.302512598996186,2.032117684890402
quad,8.42964827714853,2.0295154419736057
quad,8.556783955300872,2.0270619311404254
quad,8.683919633453215,2.0247571523908605
quad,8.811055311605559,2.022601105724911
quad,8.938190989757903,2.020593791142577
quad,9.065326667910245,2.018735208643859
quad,9.192462346062587,2.017025358228756
quad,9.319598024214931,2.0154642398972684
quad,9.446733702367275,2.0140518536493968
quad,9.573869380519618,2.0127881994851404
quad,9.70100505867196,2.0116732774045
quad,9.828140736824304,2.0107070874074746
quad,9.955276414976648,2.0098896294940656
quad,10.08241209312899,2.009220903664271
quad,10.209547771281335,2.0087009099180926
quad,10.336683449433677,2.0083296482555295
quad,10.463819127586019,2.008107118676582
quad,10.590954805738363,2.0080333211812498
quad,10.718090483890705,2.0081082557695336
quad,10.84522616204305,2.008331922441433
quad,10.972361840195392,2.0087043211969475
quad,11.099497518347736,2.0092254520360777
quad,11.226633196500078,2.0098953149588237
quad,11.353768874652422,2.010713909965185
quad,11.480904552804764,2.0116812370551616
quad,11.608040230957108,2.012797296228754
quad,11.73517590910945,2.014062087485962
quad,11.862311587261795,2.0154756108267855
quad,11.989447265414137,2.0170378662512243
quad,12.116582943566481,2.018748853759279
quad,12.243718621718823,2.0206085733509487
quad,12.370854299871167,2.0226170250262343
quad,12.49798997802351,2.0247742087851357
quad,12.625125656175854,2.0270801246276524
quad,12.752261334328196,2.0295347725537844
quad,12.87939701248054,2.0321381525635323
quad,13.006532690632882,2.0348902646568954
quad,13.133668368785226,2.0377911088338743
