customer_bin,count,mean,median
"(-0.001, 2.0]",2636,28.038088012139603,5.95
"(2.0, 27.0]",2322,19.182335630203845,5.4
"(213.0, 22130.0]",2459,12.198637657584385,4.433333333333334
"(27.0, 213.0]",2440,12.839330601092897,4.016666666666667
