customers_v2_event_excl_reinterruptions,count,mean,median
"(-0.001, 1.0]",2113,27.681077457012147,5.683333333333334
"(1.0, 3.0]",527,20.246995572422517,5.583333333333333
"(3.0, 24.0]",1094,14.582480195003047,3.5
"(24.0, 2220.0]",1229,4.462164361269324,1.35
