fold,n_test,n_train,sse,rmse,k
0,1957,7900,9798.1714001811761,2.2375724354245339,27
1,2264,7593,10680.449912756496,2.1719837044389343,27
2,1674,8183,7690.7224822566759,2.1434129154409929,27
3,1433,8424,7056.6872413939309,2.2191023818863655,27
4,2529,7328,11191.340444354328,2.1036168409444413,27
