gust_decile,n,weather_n,weather_pct
"(0.399, 4.0]",11801,387,3.2793831031268534
"(4.0, 5.4]",12603,477,3.784813139728636
"(5.4, 6.5]",11580,509,4.395509499136442
"(6.5, 7.6]",11838,597,5.043081601621895
"(7.6, 8.6]",10821,570,5.2675353479345715
"(8.6, 9.8]",12062,651,5.39711490631736
"(9.8, 11.1]",11478,703,6.124760411221467
"(11.1, 12.9]",11791,865,7.3361038079891445
"(12.9, 15.8]",11628,1219,10.483316133470932
"(15.8, 39.4]",11506,3879,33.71284547192769
