version,group,target,n,beta_gust,beta_gust2,beta_interaction,gust_mean,gust_sd,physical_quadratic,conditional_minimum_ms,minimum_status,CI
R1,main,E0,60436.0,-0.036035759551102414,0.106019818927991,-0.046583620077591446,9.91022238832415,5.279979383259645,0.0038029674185382388,10.807545499294342,conditional_fitted_minimum,not_estimated
B1,main,E0,60436.0,-0.036035759551102414,0.106019818927991,-0.046583620077591446,9.91022238832415,5.279979383259645,0.0038029674185382388,10.807545499294342,conditional_fitted_minimum,not_estimated
H0,main,E0,60437.0,-0.0323258990956311,0.1027617074738951,-0.0408384359554068,9.87229677581956,5.222713076874045,0.003767376088651499,10.69375498276572,historical_algebraic_vertex_not_recertified,historical_not_reused
R1,main,R0c,59832.0,-0.0007214352274392613,0.08482921228863778,0.021173962710705384,9.913135115978218,5.276540005192859,0.0030468211654672106,9.935572444676886,conditional_fitted_minimum,not_estimated
B1,main,R0c,60436.0,-0.0073789490698270175,0.08784213217240638,0.020822882769397363,9.91022238832415,5.279979383259645,0.0031509275341574223,10.131987832737215,conditional_fitted_minimum,not_estimated
H0,main,R0c,59834.0,0.0001979069022939,0.0792374508061586,0.0252614968935038,9.875234820350876,5.2190180674673785,0.0029090614451821885,9.86871719712953,historical_algebraic_vertex_not_recertified,historical_not_reused
R1,weather,E0,9857.0,0.13294046644423696,0.04569835340753974,-0.13649101087949694,14.386994021622419,7.2785134920823795,0.0008626113520012891,3.800081075012198,conditional_fitted_minimum,not_estimated
B1,weather,E0,9857.0,0.13294046644423696,0.04569835340753974,-0.13649101087949694,14.386994021622419,7.2785134920823795,0.0008626113520012891,3.800081075012198,conditional_fitted_minimum,not_estimated
H0,weather,E0,9857.0,0.1343262791513094,0.041895808878164,-0.1166186623495163,14.22320179029448,7.152216360936601,0.000819010165356056,2.7574891429553965,historical_algebraic_vertex_not_recertified,historical_not_reused
R1,weather,R0c,9758.0,0.25657902947936445,0.09651476178153291,0.06197041194439748,14.312973976739974,7.215826770320308,0.0018536235817522768,4.721540524255127,conditional_fitted_minimum,not_estimated
B1,weather,R0c,9857.0,0.26334772408253637,0.11363396644484818,0.0695371475230401,14.386994021622419,7.2785134920823795,0.0021449777096801703,5.952984267266837,conditional_fitted_minimum,not_estimated
H0,weather,R0c,9758.0,0.2306849358527267,0.0824113016044628,0.0695260482448057,14.15718385345087,7.093544215548031,0.0016377975351990106,4.229092921299138,historical_algebraic_vertex_not_recertified,historical_not_reused
