path,outer_group,task,model,train_n,test_n,config,model_sha256,fit_ids_sha256,model_path,fit_ids_path
B_fivefold,P5,E_log,P02,59565,494,"{""lambda"":0.1}",d7fd1d500971ca6e7a97d09ec84ea4b65587d543caf577447774fcc0f56f2de0,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\P02\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\P02\outer_P5.fit_ids.parquet
B_fivefold,P5,E_log,S01,3958,494,"{""lambda"":0.1}",4d50810abab0a44630d45418a43231a9abeb57e00e5907fafba31e5b1239ad74,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S01\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S01\outer_P5.fit_ids.parquet
B_fivefold,P5,E_log,S02,3958,494,"{""lambda"":0.1}",a46fb4599dda123a70d3a13687d6c69318d41d914d92bdf56300d1a94f46bf34,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S02\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S02\outer_P5.fit_ids.parquet
B_fivefold,P5,E_log,S03,3958,494,"{""control_lambda"":0.1,""difference_penalty"":0.01,""n_knots"":5}",40cdbb5d62ef03337c0f1660cd3f653ecb6131696188c9b6c81ddc8b135d73ea,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S03\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S03\outer_P5.fit_ids.parquet
B_fivefold,P5,E_log,S04,3958,494,"{""control_lambda"":0.1}",5a17620cdccf8b0d30fd6512932735bff1c6904b7b869147e40bbf95c8412940,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S04\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S04\outer_P5.fit_ids.parquet
B_fivefold,P5,E_log,G05,59565,494,"{""max_leaf_nodes"":7,""min_samples_leaf"":50}",f406c46417b1e32711c63e01db456920bf2c75abc53173b95dfe4a497c802a31,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\G05\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\G05\outer_P5.fit_ids.parquet
B_fivefold,P5,E_log,S05,3958,494,"{""max_leaf_nodes"":7,""min_samples_leaf"":20}",5e0f5b2a50b3f0082a5aa0e5b370360f9e69a99e83e2b5ebd429e1ef995482cc,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S05\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\E_log\S05\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,B00,3958,494,{},95e5247928e27ded1e0c887e973b8dd537a55f9a1f39ef519c187667b94f30b6,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\B00\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\B00\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,B01,3958,494,"{""lambda"":0.1}",362598c4e1d55b147c2091ea8fccf98367f56a2c6dad05f3a335f4942892dda9,f6e9429c9c3d1a4df9989fd38ad215bfdde6c705565e506a835b6f46edb27cab,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\B01\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\B01\outer_P5.fit_ids.parquet
B_fivefold,P5,R_log,G02,59565,494,"{""lambda"":0}",957ef6efaf280470ddde2ffddd79fb1bfc16edf92ec7af11bac0f036b1fd5c3d,8742337f1f8dd97379d11a6def829183d79a41c92547735e79b8ef5a19146542,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\G02\outer_P5.joblib,D:\Pyprogramme\STST2603\claude_branch\paper_revision_work_v2\X02_storm_specialization\runs\X02_20260907_001\models\fivefold\R_log\G02\outer_P5.fit_ids.parquet
