outer_group,inner_validation_group,task,model,config,train_n,validation_n,status,n,mse,rmse,mae,r2,mean_y,mean_pred,residual_mean,sd_ratio,pearson,spearman,calibration_intercept,calibration_slope,sse,sse_between_process_mean,sse_within_process
P1,P2,E_log,B00,{},1579,2603,ok,2603,5.726464773247917,2.393003295703522,2.006791719134686,-0.08987853836518944,3.1054919247043675,2.418293354861628,0.68719856984274,1.9373851864155306e-16,,,,,14905.987804764329,1229.2455990473404,13676.742205716988
P1,P3,E_log,B00,{},3673,509,ok,509,4.574801817779423,2.138878635589084,1.911209941994604,-0.16486002263724941,2.139311737452243,2.943961615292346,-0.8046498778401027,0.0,,,,,2328.574125249726,329.55786578721893,1999.0162594625072
P1,P4,E_log,B00,{},3606,576,ok,576,5.2320770453081415,2.287373394377958,2.041581352485089,-0.08969756892388658,2.2801567263537543,2.9364144240022787,-0.6562576976485237,2.0266845037248307e-16,,,,,3013.6763780974898,248.0683194564141,2765.608058641076
P1,P5,E_log,B00,{},3688,494,ok,494,4.779385156152887,2.1861804948706514,1.906713427825784,-0.00011625670950610179,2.866812264339182,2.8432417106150827,0.023570553724099677,2.0314654911475975e-16,,,,,2361.016267139526,0.27445207541317057,2360.7418150641133
P1,P2,E_log,B01,"{""lambda"":0}",1579,2603,ok,2603,268989.38232560403,518.6418632598067,518.6362510335362,-51193.893612958986,3.1054919247043675,521.7417429582405,-518.6362510335362,0.5359403294789881,0.16725520285383313,0.1535631818352772,-159.71864400219312,0.31207803118013067,700179362.1935472,700164208.9865733,15153.2069740986
P1,P3,E_log,B01,"{""lambda"":0}",3673,509,ok,509,4.852643855732924,2.202871729296312,1.6093153202131816,-0.23560561895188736,2.139311737452243,1.2359982675248224,0.9033134699274206,0.34617965077502416,0.13288276917911532,0.16856705166333513,1.6648676962684765,0.38385494029362643,2469.995722568058,415.3313895007293,2054.6643330673287
P1,P4,E_log,B01,"{""lambda"":0}",3606,576,ok,576,5.586686751978832,2.36361730235223,2.049881802508868,-0.16355300567101616,2.2801567263537543,3.1307979787679856,-0.8506412524142312,0.4493077594670755,0.21035519257851157,0.20433450725882135,0.8143916736217547,0.4681761846891186,3217.9315691398074,416.7881512178986,2801.1434179219086
P1,P5,E_log,B01,"{""lambda"":0}",3688,494,ok,494,32.53332340739446,5.703799032872254,5.286278006343989,-5.807801539625965,2.866812264339182,-2.4194657420048067,5.286278006343989,0.17880861764526904,0.20072218373673784,0.19505153246931675,5.582791245703902,1.1225531877604589,16071.461763252864,13804.69916921595,2266.762594036916
P1,P2,E_log,B01,"{""lambda"":0.001}",1579,2603,ok,2603,5.366054730663774,2.316474634150733,1.96267162339195,-0.021284181117279255,3.1054919247043675,2.5823561352987445,0.5231357894056228,0.17932081232656433,0.17554486765138838,0.1734999640741153,0.57751226568843,0.9789430762320022,13967.840463917804,712.3657539707858,13255.474709947019
P1,P3,E_log,B01,"{""lambda"":0.001}",3673,509,ok,509,4.897087101903822,2.2129363076925244,1.6113048696838403,-0.246921991289484,2.139311737452243,1.2098849890757069,0.9294267483765362,0.344962653099677,0.13339299521822182,0.1683655403376661,1.67146346137889,0.38668822268037767,2492.6173348690454,439.69154702427056,2052.925787844775
P1,P4,E_log,B01,"{""lambda"":0.001}",3606,576,ok,576,5.613346383078833,2.3692501731726923,2.056407924874092,-0.1691054726829706,2.2801567263537543,3.1495695893180318,-0.8694128629642771,0.4470204843482015,0.21044959998522605,0.2045181244324122,0.7973932213119763,0.4707829000097874,3233.2875166534077,435.38614634173877,2797.901370311669
P1,P5,E_log,B01,"{""lambda"":0.001}",3688,494,ok,494,16.604351935137913,4.074843792728491,3.464858520012897,-2.4745645642470913,2.866812264339182,-0.5971661329043146,3.4639783972434963,0.17665392874759375,0.191160527465053,0.18774502674030313,3.5130169299221414,1.0821187438077675,8202.549855958128,5927.578290265393,2274.971565692734
P1,P2,E_log,B01,"{""lambda"":0.1}",1579,2603,ok,2603,11.518888267743275,3.3939487721153476,2.6264305615510573,-1.1923105451532408,3.1054919247043675,0.5699223968080117,2.5355695278963557,0.14084642145413379,0.18153058115540338,0.16972542308748773,2.3709447289864443,1.288854763090436,29983.666160935747,16734.980698563413,13248.685462372334
P1,P3,E_log,B01,"{""lambda"":0.1}",3673,509,ok,509,4.3498303987690035,2.085624702282029,1.5646436070379965,-0.10757662049669237,2.139311737452243,1.5000912920849092,0.6392204453673339,0.2947974707557309,0.1414013313380784,0.1783670754301611,1.4197841740518682,0.4796558497452085,2214.063672973423,207.97881388778688,2006.0848590856358
P1,P4,E_log,B01,"{""lambda"":0.1}",3606,576,ok,576,5.303721585946627,2.3029810216210262,2.013378763855366,-0.10461915380965103,2.2801567263537543,3.0339999916360574,-0.753843265282303,0.36354689782773125,0.2006676439991291,0.19066796196601257,0.6054742194946794,0.5519718231627342,3054.943633505257,327.3290891202152,2727.6145443850414
P1,P5,E_log,B01,"{""lambda"":0.1}",3688,494,ok,494,5.017811031150133,2.2400471046721613,1.8842089753221936,-0.05000836329103042,2.866812264339182,2.179369347605045,0.6874429167341374,0.15027672396626582,0.23777662762513999,0.23624346033950694,-0.5815134653290759,1.5822585251360426,2478.798649388166,233.45341530136145,2245.3452340868043
P1,P2,E_log,G02,"{""lambda"":0}",56997,2603,ok,2603,5.19292278808417,2.278798540477892,1.908767069766659,0.011666827226384013,3.1054919247043675,2.9241042106389434,0.18138771406542356,0.4139306473574078,0.22862202319153432,0.2546218922950539,1.490451760543892,0.5523196328928286,13517.178017383094,85.64261182452927,13431.535405558563
P1,P3,E_log,G02,"{""lambda"":0}",59235,509,ok,509,3.7927322098863367,1.9474938279456335,1.665072043303933,0.034274640992056904,2.139311737452243,2.2814929733688674,-0.14218123591662388,0.1684817320813327,0.20123283328854774,0.22117263320198804,-0.5856798060659556,1.1943896278998651,1930.5006948321454,10.289691458010337,1920.211003374135
P1,P4,E_log,G02,"{""lambda"":0}",59129,576,ok,576,4.337440469238653,2.0826522679599333,1.8417321945118548,0.09663059359572646,2.2801567263537543,2.684793291735539,-0.4046365653817839,0.283677301211578,0.3722610345885211,0.3678822444256792,-1.2430152869486673,1.3122693743863338,2498.365710281464,94.3089120253248,2404.0567982561397
P1,P5,E_log,G02,"{""lambda"":0}",59108,494,ok,494,4.400769182277803,2.0978010349596556,1.8015825907887613,0.07911150547134549,2.866812264339182,2.5953985609901484,0.2714137033490336,0.2565811525922686,0.3124943850612968,0.32327751945112726,-0.29416612051678204,1.217916366436624,2173.9799760452347,36.39070679262478,2137.5892692526104
P1,P2,E_log,G02,"{""lambda"":0.001}",56997,2603,ok,2603,5.180489501391015,2.2760688700896146,1.9074614315590377,0.014033168916201988,3.1054919247043675,2.9103908405463175,0.19510108415805016,0.4058349564745716,0.2291322110290053,0.2549036141671749,1.4623010718367517,0.5645945657797521,13484.814172120812,99.08171920220003,13385.732452918612
P1,P3,E_log,G02,"{""lambda"":0.001}",59235,509,ok,509,3.7929940657111816,1.9475610557081855,1.6652540909890226,0.03420796588913311,2.139311737452243,2.2811615121457134,-0.1418497746934703,0.16755385510098444,0.2011462703065287,0.22071875756600326,-0.5991936216656653,1.2004872713032961,1930.6339794469914,10.241771517519437,1920.3922079294716
P1,P4,E_log,G02,"{""lambda"":0.001}",59129,576,ok,576,4.339052776858626,2.0830393123651376,1.8422986044372385,0.09629479431780519,2.2801567263537543,2.6838543815310496,-0.4036976551772946,0.28161600795754776,0.37204012153273686,0.3674384209272658,-1.2654567404471089,1.3210901050369985,2499.294399470569,93.87175495429202,2405.4226445162767
P1,P5,E_log,G02,"{""lambda"":0.001}",59108,494,ok,494,4.402308942549092,2.0981679967412266,1.8019814460115426,0.07878930099766568,2.866812264339182,2.59338216981576,0.27343009452342176,0.25444849370450584,0.3127905632818921,0.3237695975887498,-0.32120216597584417,1.229288327582475,2174.740617619251,36.933424195997155,2137.8071934232544
P1,P2,E_log,G02,"{""lambda"":0.1}",56997,2603,ok,2603,5.279900822250896,2.2978034777262604,1.9267401902909287,-0.004887102030347146,3.1054919247043675,2.5279238829718,0.5775680417325672,0.1824908338776362,0.25180635785613265,0.26303344422904856,-0.38261370988043053,1.37983016738788,13743.581840319082,868.3213458885527,12875.260494430531
P1,P3,E_log,G02,"{""lambda"":0.1}",59235,509,ok,509,3.8161982336061735,1.9535092100131428,1.6732438389284991,0.028299599009853016,2.139311737452243,2.2698674896793785,-0.13055575222713595,0.13701119528023895,0.18761862489443856,0.21306345958555978,-0.9689701532003738,1.3693671127435132,1942.4449009055422,8.675805459752997,1933.7690954457892
P1,P4,E_log,G02,"{""lambda"":0.1}",59129,576,ok,576,4.426628721593295,2.1039554942044987,1.8600198732737896,0.07805513667378039,2.2801567263537543,2.6238518805156748,-0.3436951541619202,0.2075716399558421,0.35106816630511095,0.3328933492584764,-2.1575924215780966,1.6913108475695222,2549.738143637738,68.04078278076639,2481.6973608569715
P1,P5,E_log,G02,"{""lambda"":0.1}",59108,494,ok,494,4.46994465069672,2.1142243614850154,1.8172054388764816,0.06463610575550771,2.866812264339182,2.532335029556168,0.3344772347830139,0.18357651795898186,0.33159739956500384,0.33693940973943126,-1.7073877475371582,1.8063170783046196,2208.15265744418,55.26626017051715,2152.886397273663
