Incident Reference,Restoration Stage,Start Date and Time,End Date and Time,Number of Customers Restored,Re-interruption Stage,MEI code,Cause Code,Continued Cause Code,Damage to the Network,Exceptional Event?,incident_count,Whether or not this incident was excluded from the IIS,ee_coding_only_for_additional_incidents,licence_area,regulatory_year,unique_identifier,substation,SiteFunctionalLocation,Spatial Coordinates,source_row_number,start_utc,end_utc
FREP-338321-Z,1,2022-11-04T16:44:00+00:00,2022-11-04T17:10:00+00:00,0,N,59,98,,1,,1,,,EPN,2022-23,FREP-338321-Z1,VALLEYBRIDGE RD PRIMARY,EPN-S0000000H3010,"51.803888482106, 1.16435758884433",163320,2022-11-04 16:44:00+00:00,2022-11-04 17:10:00+00:00
FREP-338321-Z,2,2023-05-11T12:06:00+01:00,2023-05-11T14:40:00+01:00,1,N,41,71,,1,,1,,,EPN,2023-24,FREP-338321-Z2,VALLEYBRIDGE RD PRIMARY,EPN-S0000000H3010,"51.803888482106, 1.16435758884433",89486,2023-05-11 11:06:00+00:00,2023-05-11 13:40:00+00:00
