source_row_number,Incident Reference,cause_group_official,clean_start,lat,lon,request_key,gust_0h,precipitation_24h_sum,weather_status_v3,LAD21CD,population,rural_urban_classification,deprivation_gap_pct,morans_i,income_deprivation_rate
89486,FREP-338321-Z,technical_asset,2023-05-11 11:06:00+00:00,51.803888482106,1.16435758884433,51.8_1.2_2023-05-11,5.400000095367432,1.7000000476837158,matched,E07000076,154321.0,Largely Rural (rural including hub towns 50-79%) ,0.5249999999999999,0.49,0.173
94432,FREP-314454-J,external_or_customer,2023-04-05 08:23:00+00:00,51.6271376055075,0.029948701308337,51.6_0.0_2023-04-05,,,weather_request_unavailable,E07000072,136176.0,Urban with Significant Rural (rural including hub towns 26-49%),0.224,0.14,0.091
147106,FREP-314454-J,technical_asset,2023-03-24 19:27:00+00:00,51.6271376055075,0.029948701308337,51.6_0.0_2023-03-24,14.699999809265137,2.400000095367432,matched,E07000072,136176.0,Urban with Significant Rural (rural including hub towns 26-49%),0.224,0.14,0.091
163320,FREP-338321-Z,non_fault_or_unknown,2022-11-04 16:44:00+00:00,51.803888482106,1.16435758884433,51.8_1.2_2022-11-04,,,weather_request_unavailable,E07000076,151530.0,Largely Rural (rural including hub towns 50-79%) ,0.5249999999999999,0.49,0.173
