Incident Reference,Spatial Coordinates,Cause Code,licence_area,regulatory_year,substation,SiteFunctionalLocation
FREP-15374-O,1,1,1,1,1,1
FREP-15377-O,1,1,1,1,1,1
FREP-15429-W,1,1,1,1,1,1
FREP-15446-W,1,1,1,1,1,1
FREP-15448-W,1,1,1,1,1,1
FREP-15456-O,1,1,1,1,1,1
FREP-15468-W,1,1,1,1,1,1
FREP-15523-W,1,1,1,1,1,1
FREP-15537-W,1,1,1,1,1,1
FREP-15540-W,1,1,1,1,1,1
FREP-15637-O,1,1,1,1,1,1
FREP-15775-W,1,1,1,1,1,1
FREP-15801-W,1,1,1,1,1,1
FREP-15804-W,1,1,1,1,1,1
FREP-15807-W,1,1,1,1,1,1
FREP-15941-W,1,1,1,1,1,1
FREP-16001-W,1,1,1,1,1,1
FREP-16019-W,1,1,1,1,1,1
FREP-16021-W,1,1,1,1,1,1
FREP-16024-W,1,1,1,1,1,1
FREP-16031-W,1,1,1,1,1,1
FREP-16044-W,1,1,1,1,1,1
FREP-16045-W,1,1,1,1,1,1
FREP-16109-O,1,1,1,1,1,1
FREP-16116-W,1,1,1,1,1,1
FREP-16125-W,1,1,1,1,1,1
FREP-16142-W,1,1,1,1,1,1
FREP-16149-W,1,1,1,1,1,1
FREP-16167-O,1,1,1,1,1,1
FREP-16179-W,1,1,1,1,1,1
FREP-16214-W,1,1,1,1,1,1
FREP-16241-W,1,1,1,1,1,1
FREP-16266-O,1,1,1,1,1,1
FREP-16363-O,1,1,1,1,1,1
FREP-16365-O,1,1,1,1,1,1
FREP-16376-O,1,1,1,1,1,1
FREP-16476-O,1,1,1,1,1,1
FREP-16557-O,1,1,1,1,1,1
FREP-16826-O,1,1,1,1,1,1
FREP-16827-O,1,1,1,1,1,1
FREP-16829-O,1,1,1,1,1,1
FREP-16896-O,1,1,1,1,1,1
FREP-17011-O,1,1,1,1,1,1
FREP-17033-O,1,1,1,1,1,1
FREP-17076-O,1,1,1,1,1,1
FREP-17215-O,1,1,1,1,1,1
FREP-17216-O,1,1,1,1,1,1
FREP-174422-G,1,1,1,1,1,1
FREP-17450-U,1,1,1,1,1,1
FREP-17527-U,1,1,1,1,1,1
FREP-17618-U,1,1,1,1,1,1
FREP-176584-Z,1,1,1,1,1,1
FREP-17772-U,1,1,1,1,1,1
FREP-17821-U,1,1,1,1,1,1
FREP-17829-U,1,1,1,1,1,1
FREP-17830-U,1,1,1,1,1,1
FREP-17853-U,1,1,1,1,1,1
FREP-17887-U,1,1,1,1,1,1
FREP-17895-U,1,1,1,1,1,1
FREP-17907-U,1,1,1,1,1,1
FREP-17966-U,1,1,1,1,1,1
FREP-17991-U,1,1,1,1,1,1
FREP-17995-U,1,1,1,1,1,1
FREP-17999-U,1,1,1,1,1,1
FREP-180479-J,1,1,1,1,1,1
FREP-180796-Z,1,1,1,1,1,1
FREP-18096-U,1,1,1,1,1,1
FREP-18104-U,1,1,1,1,1,1
FREP-18113-U,1,1,1,1,1,1
FREP-18118-U,1,1,1,1,1,1
FREP-18141-U,1,1,1,1,1,1
FREP-18160-U,1,1,1,1,1,1
FREP-18161-U,1,1,1,1,1,1
FREP-18195-U,1,1,1,1,1,1
FREP-18196-U,1,1,1,1,1,1
FREP-18213-U,1,1,1,1,1,1
FREP-18238-U,1,1,1,1,1,1
FREP-18255-U,1,1,1,1,1,1
FREP-18262-U,1,1,1,1,1,1
FREP-18286-U,1,1,1,1,1,1
FREP-18293-U,1,1,1,1,1,1
FREP-18296-U,1,1,1,1,1,1
FREP-18297-U,1,1,1,1,1,1
FREP-18317-U,1,1,1,1,1,1
FREP-18348-U,1,1,1,1,1,1
FREP-18352-U,1,1,1,1,1,1
FREP-18355-U,1,1,1,1,1,1
FREP-18362-U,1,1,1,1,1,1
FREP-18364-U,1,1,1,1,1,1
FREP-18385-U,1,1,1,1,1,1
FREP-18390-U,1,1,1,1,1,1
FREP-18412-U,1,1,1,1,1,1
FREP-18417-U,1,1,1,1,1,1
FREP-18422-U,1,1,1,1,1,1
FREP-18423-U,1,1,1,1,1,1
FREP-18442-U,1,1,1,1,1,1
FREP-18470-U,1,1,1,1,1,1
FREP-18498-U,1,1,1,1,1,1
FREP-18503-U,1,1,1,1,1,1
FREP-18522-U,1,1,1,1,1,1
FREP-18565-U,1,1,1,1,1,1
FREP-18633-U,1,1,1,1,1,1
FREP-187622-J,1,1,1,1,1,1
FREP-18786-U,1,1,1,1,1,1
FREP-18837-U,1,1,1,1,1,1
FREP-18842-U,1,1,1,1,1,1
FREP-18843-U,1,1,1,1,1,1
FREP-18999-U,1,1,1,1,1,1
FREP-19019-U,1,1,1,1,1,1
FREP-190571-Z,1,1,1,1,1,1
FREP-190856-J,1,1,1,1,1,1
FREP-19154-U,1,1,1,1,1,1
FREP-19159-U,1,1,1,1,1,1
FREP-19163-U,1,1,1,1,1,1
FREP-19179-U,1,1,1,1,1,1
FREP-19209-U,1,1,1,1,1,1
FREP-19211-U,1,1,1,1,1,1
FREP-19237-U,1,1,1,1,1,1
FREP-19238-U,1,1,1,1,1,1
FREP-19281-U,1,1,1,1,1,1
FREP-19284-U,1,1,1,1,1,1
FREP-19285-U,1,1,1,1,1,1
FREP-19287-U,1,1,1,1,1,1
FREP-19295-U,1,1,1,1,1,1
FREP-19297-U,1,1,1,1,1,1
FREP-19298-U,1,1,1,1,1,1
FREP-193002-Z,1,1,1,1,1,1
FREP-19301-U,1,1,1,1,1,1
FREP-19308-U,1,1,1,1,1,1
FREP-19316-U,1,1,1,1,1,1
