fold,n_test,n_train,sse,rmse,k
0,12360,48077,48922.443877642392,1.9895040908018626,27
1,11776,48661,48684.969369364335,2.0332863824418501,27
2,11537,48900,44780.540210786778,1.9701451227502969,27
3,11887,48550,46057.621767357123,1.9684057415160987,27
4,12877,47560,49811.481024470093,1.9667872283472005,27
