fold,n_test,n_train,sse,rmse,k
0,1957,7900,9857.6510415825287,2.2443537332402204,27
1,2264,7593,10677.262615385653,2.1716595947542889,27
2,1674,8183,7687.122200714577,2.1429111554750944,27
3,1433,8424,7053.7778232728833,2.2186448752639887,27
4,2529,7328,11198.261147839796,2.1042671767300796,27
