sample,block,pooled_oof_r2,mean_fold_r2,difference
main_E0,regional_time,0.00950011917916549,0.009302411053231086,0.0001977081259344031
main_E0,B,0.017378001921048547,0.01710939513969816,0.00026860678135038826
main_E0,BG,0.028123975355983877,0.027770739477656757,0.0003532358783271197
main_R0c,regional_time,0.016990025350926974,0.013490785915715264,0.00349923943521171
main_R0c,B,0.025671745623638054,0.022058061029699583,0.0036136845939384703
main_R0c,BG,0.03186926271226276,0.02801465285105518,0.0038546098612075794
main_R0c,BC,0.10298754705167956,0.10018761634630632,0.002799930705373238
main_R0c,BGC,0.11053659115053105,0.10736673757104032,0.0031698535794907334
weather_E0,regional_time,-0.001697872139410972,-0.003673538012895117,0.001975665873484145
weather_E0,B,0.021581834386435017,0.019130767311741792,0.002451067074693225
weather_E0,BG,0.020103346763084895,0.018292917312105073,0.0018104294509798217
weather_R0c,regional_time,0.16251489351522808,0.10554619678867813,0.056968696726549944
weather_R0c,B,0.18845118870436683,0.13355022003643768,0.05490096866792915
weather_R0c,BG,0.20276463201669892,0.148394966168707,0.05436966584799191
weather_R0c,BC,0.1984716372515407,0.14410152337808782,0.05437011387345289
weather_R0c,BGC,0.21558175570266513,0.16171373338480385,0.05386802231786128
