term,coef,se,p
Intercept,3.284634412992821,1.045329140423286,0.001676828019249141
z_gust_0h,-0.036014312441059675,0.021736258670215135,0.09754429520442799
z_gust_0h_sq,0.10599692045043266,0.031979871049812675,0.00091810898593131
z_precipitation_24h_sum,0.04555184056932947,0.016205547725356168,0.004940629805645481
z_temperature_0h,-0.01116361668801012,0.04176733233219185,0.7892527715508729
z_pressure_msl_0h,-0.09057268092292951,0.023102230771375062,8.835932216931882e-05
z_gust_pressure,-0.046618128427459216,0.027618517444407454,0.09142463726681566
urban_binary,-0.15571415416323311,0.0768198487852681,0.042661985770173896
log_population,-0.0775104526391073,0.0886769052521963,0.3820762647400109
income_deprivation_rate,-3.17979336279247,0.9168011308735979,0.0005236516825827169
deprivation_gap_pct,0.17436778477831533,0.5429119294635404,0.7480805040092721
morans_i,-0.025734744023140792,0.23947956802939654,0.9144231636864814
incident_year[2022],0.09078525844431096,0.03582670469664132,0.011276523989181088
incident_year[2023],0.016200310719304355,0.038677946837360984,0.6753247649864487
incident_year[2024],-0.01844715689087796,0.07122483953484265,0.7956360697316133
incident_month[2],0.02376795293684128,0.07912555274648456,0.7638852025943501
incident_month[3],-0.02505741797875278,0.06925682518897416,0.7174982697463137
incident_month[4],-0.08037328152860747,0.06938048171751085,0.24668360480384455
incident_month[5],-0.004365162571267694,0.08019434665901704,0.9565907469464149
incident_month[6],0.2605783865038358,0.10830218836298679,0.016126910879860217
incident_month[7],0.30592723271380723,0.08127220556179394,0.000167063408409714
incident_month[8],0.14391916141414093,0.11360023118008865,0.2051941069143025
incident_month[9],0.06135930782281919,0.10175007145234481,0.5464824409473448
incident_month[10],-0.053222733134743745,0.08371447446004364,0.5249296009528581
incident_month[11],-0.1244640515250352,0.07289524774427779,0.08774083674362548
incident_month[12],0.07495897963098164,0.06284193498076635,0.23294073112365377
