storm,eta_pred,observed,in_training_range
Arwen,1.3155579284346166,3.683333333333333,True
Arwen,1.5296116115465856,1.0,True
Arwen,1.872049356302242,7.983333333333333,True
Arwen,1.820349923078413,8.316666666666666,True
Arwen,1.9029998067388898,1.1,True
Arwen,1.2219688352359073,1.6166666666666667,True
Arwen,1.9781028933411113,8.583333333333334,True
Arwen,1.2859597319587637,1.0,True
Arwen,2.236769576086637,8.6,True
Arwen,2.22695247704086,7.6,True
Arwen,1.2233004246871377,2.333333333333333,True
Arwen,1.190087189058908,1.7666666666666666,True
Arwen,1.981505968699903,5.883333333333334,True
Arwen,1.9879195248399293,11.066666666666666,True
Arwen,1.7271613484402188,5.333333333333333,True
Arwen,2.4834680767288058,21.95,True
Arwen,2.1005643036133543,23.866666666666667,True
Arwen,1.9538084937798865,23.25,True
Arwen,2.1191972044529708,18.25,True
Arwen,1.762150331435014,4.883333333333334,True
Arwen,2.2173768373138025,17.083333333333332,True
Arwen,0.18822991169516334,0.9166666666666666,True
Arwen,1.3466487502132154,2.316666666666667,True
Arwen,1.4980347824580764,3.966666666666667,True
Arwen,2.3491961734577513,15.983333333333333,True
Arwen,1.6200907571806604,1.6166666666666667,True
Arwen,2.1127155714274677,9.383333333333333,True
Arwen,1.5533706966595318,0.1,True
Arwen,2.3742542012725516,7.05,True
Arwen,2.0437468623293102,7.383333333333334,True
Arwen,1.4718607265612385,8.766666666666667,True
Arwen,2.319283678256594,4.166666666666667,True
Arwen,2.159591209650751,1.5333333333333334,True
Arwen,1.9641328013320531,5.45,True
Arwen,1.2860749973319492,2.6666666666666665,True
Arwen,2.068914213764918,17.783333333333335,True
Arwen,1.9670065426314858,16.65,True
Arwen,1.416786427155542,8.6,True
Arwen,2.2012092603040654,14.716666666666669,True
Arwen,1.9164987075841702,34.78333333333333,True
Arwen,2.071318275934044,17.833333333333332,True
Arwen,2.0886716778461314,13.6,True
Arwen,1.4233613460809014,1.0,True
Arwen,1.9968024545070577,1.2833333333333334,True
Arwen,1.9865282810891023,5.266666666666667,True
Arwen,2.221077292219049,9.416666666666666,True
Arwen,1.7800398959615455,9.066666666666666,True
Arwen,2.1492557479625733,15.4,True
Arwen,1.862064816997081,14.783333333333331,True
Arwen,1.7040057426894197,10.166666666666666,True
Arwen,1.9719706850117074,5.866666666666666,True
Arwen,2.136200247596757,5.616666666666666,True
Arwen,1.4292808170540778,58.73333333333333,True
Arwen,2.1608566420912787,8.75,True
Arwen,1.8928059804911486,19.9,True
Arwen,1.4777973416397452,2.0,True
Arwen,1.9040840348542687,8.116666666666667,True
Arwen,2.297923339346648,2.1166666666666667,True
Arwen,1.9433510370737879,15.616666666666667,True
Arwen,0.6804482953783613,7.6,True
Arwen,1.7097284254026135,10.033333333333331,True
Arwen,1.8653505555402095,19.5,True
Arwen,1.6324068346198237,21.08333333333333,True
Arwen,1.6344396705874573,11.533333333333331,True
Arwen,1.4097510510972742,9.383333333333333,True
Arwen,2.122834262431478,6.933333333333334,True
Arwen,1.6193067498393257,4.283333333333333,True
Arwen,2.2064791000194837,3.1,True
Arwen,2.0640931636555564,1.45,True
Arwen,1.486216049567606,3.4833333333333334,True
Arwen,2.215296469856751,5.033333333333333,True
Arwen,0.12721861803660928,8.85,True
Arwen,1.9891554772163371,23.98333333333333,True
Arwen,1.9376926035938056,17.233333333333334,True
Arwen,0.28648747279487075,4.066666666666666,True
Arwen,2.2603355079715617,8.116666666666667,True
Arwen,1.659450247776275,16.65,True
Arwen,1.1999563450703168,29.85,True
Arwen,2.108443553134317,6.483333333333333,True
Arwen,2.1080278401947323,0.5166666666666667,True
Arwen,1.8984579726764368,28.3,True
Arwen,1.8482071669944762,67.31666666666666,True
Arwen,0.07152050792898179,1.95,True
Arwen,1.269507101287908,40.31666666666667,True
Arwen,1.6899199901071948,17.833333333333332,True
Arwen,1.8274380145469133,20.966666666666665,True
Arwen,2.0376282530551437,21.78333333333333,True
Arwen,1.9600976540343111,29.516666666666666,True
Arwen,1.5463459187012598,25.466666666666665,True
Arwen,1.4279822147057564,3.3666666666666667,True
