customers_v2_raw,customers_v2_z,predicted_duration_B
0.0,-1.065015639419455,3.224890335845356
31.074897959183637,0.6531948846483236,7.595041960446229
62.149795918367275,0.9888213917229214,6.834701325584749
93.22469387755092,1.1870815650189215,6.158367220946716
124.29959183673455,1.3282935266339182,5.6104004168651995
155.37448979591818,1.438055565504495,5.161798119725508
186.44938775510184,1.5278560041703402,4.7875148204988305
217.52428571428547,1.6038501656192166,4.469713960986953
248.5991836734691,1.6697230195447452,4.195812634595023
279.67408163265276,1.7278564450280134,3.9567637011961443
310.74897959183636,1.7798793485138549,3.7459071692248
341.82387755102,1.8269550010113045,3.558228187356905
372.8987755102037,1.869943173522109,3.3898728490120704
403.9736734693873,1.909497319581535,3.2378254535393425
435.04857142857094,1.9461257265292575,3.099688306626888
466.12346938775454,1.9802315653812346,2.97352804968202
497.1983673469382,2.012140015731278,2.857766148456839
528.2732653061219,2.0421171690278728,2.7510993465215625
559.3481632653055,2.0703835304616325,2.6524408753509725
590.4230612244891,2.0971238718272085,2.5608763181013967
621.4979591836727,2.1224945583419483,2.4756299999623876
652.5728571428564,2.1466290888042536,2.396039061451198
683.64775510204,2.169642347685725,2.321533221265933
714.7226530612237,2.191633912610281,2.251618808961963
745.7975510204074,2.2126906583618164,2.1858660413802946
776.8724489795909,2.2328888296647826,2.123898791195296
807.9473469387746,2.252295707702344,2.0653862900829862
839.0222448979582,2.2709709623309524,2.0100363482090966
870.0971428571419,2.288967758546065,1.9575897728054874
901.1720408163255,2.306333668918898,1.9078157428502556
932.2469387755091,2.3231114314542376,1.8605079520063126
963.3218367346927,2.3393395832674293,1.815481373340227
994.3967346938764,2.3550529937252924,1.7725695306739464
1025.47163265306,2.3702833156044107,1.7316221853634512
1056.5465306122437,2.38505936894456,1.6925033657465784
1087.6214285714273,2.399407469297854,1.6550896808294844
1118.696326530611,2.413351709767748,1.6192688709907743
1149.7712244897946,2.4269142044310366,1.584938557313562
1180.8461224489781,2.4401152993190465,1.5520051581596688
1211.921020408162,2.452973756011677,1.5203829471892267
1242.9959183673454,2.465506912002661,1.4899932315155358
1274.0708163265292,2.4777308212759275,1.4607636323068596
1305.1457142857128,2.489660377952954,1.4326274530859884
1336.2206122448963,2.501309425400091,1.4055231233759171
1367.29551020408,2.5126908528005845,1.3793937073048188
1398.3704081632636,2.523816680880734,1.3541864684015006
1429.4453061224474,2.534698138219858,1.3298524831503713
1460.520204081631,2.545345729358551,1.306346296986182
1491.5951020408147,2.5557692957408302,1.2836256173352436
1522.6699999999983,2.565978070376343,1.2616510390852553
