model,gust_ms,gust_z,predicted_level
E0_gust_dose_response,2.200000047683716,-1.4602765687795596,9.855229908772808
E0_gust_dose_response,2.716326577322824,-1.36248644530106,9.537402855841817
E0_gust_dose_response,3.2326531069619318,-1.2646963218225602,9.248555991352298
E0_gust_dose_response,3.7489796366010393,-1.1669061983440607,8.986657049145242
E0_gust_dose_response,4.265306166240148,-1.0691160748655608,8.749895012341
E0_gust_dose_response,4.781632695879255,-0.9713259513870613,8.536659345165099
E0_gust_dose_response,5.297959225518363,-0.8735358279085617,8.345521800851591
E0_gust_dose_response,5.814285755157471,-0.775745704430062,8.175220518854433
E0_gust_dose_response,6.330612284796579,-0.6779555809515623,8.024646164033229
E0_gust_dose_response,6.846938814435687,-0.5801654574730626,7.892829894978568
E0_gust_dose_response,7.363265344074795,-0.48237533399456295,7.778932978945527
E0_gust_dose_response,7.879591873713903,-0.38458521051606326,7.682237897609308
E0_gust_dose_response,8.39591840335301,-0.28679508703756373,7.602140811598668
E0_gust_dose_response,8.912244932992117,-0.1890049635590642,7.53814527298432
E0_gust_dose_response,9.428571462631226,-0.09121484008056434,7.489857094024416
E0_gust_dose_response,9.944897992270334,0.006575283397935521,7.4569802978743684
E0_gust_dose_response,10.461224521909442,0.10436540687643504,7.439314092989504
E0_gust_dose_response,10.977551051548549,0.20215553035493455,7.436750827891229
E0_gust_dose_response,11.493877581187657,0.2999456538334344,7.449274897111723
E0_gust_dose_response,12.010204110826765,0.39773577731193394,7.476962582740194
E0_gust_dose_response,12.526530640465873,0.4955259007904338,7.519982829316746
E0_gust_dose_response,13.04285717010498,0.5933160242689334,7.578598963101527
E0_gust_dose_response,13.55918369974409,0.6911061477474332,7.653171380230388
E0_gust_dose_response,14.075510229383196,0.7888962712259328,7.7441612422014465
E0_gust_dose_response,14.591836759022303,0.8866863947044322,7.852135231777515
E0_gust_dose_response,15.108163288661412,0.9844765181829321,7.977771438010837
E0_gust_dose_response,15.62448981830052,1.0822666416614317,8.121866455995255
E0_gust_dose_response,16.140816347939626,1.1800567651399312,8.285343805451177
E0_gust_dose_response,16.657142877578735,1.277846888618431,8.469263792712251
E0_gust_dose_response,17.173469407217844,1.3756370120969308,8.674834963516847
E0_gust_dose_response,17.689795936856953,1.4734271355754307,8.903427319673016
E0_gust_dose_response,18.20612246649606,1.57121725905393,9.156587501692275
E0_gust_dose_response,18.722448996135167,1.6690073825324299,9.436056172482743
E0_gust_dose_response,19.238775525774276,1.7667975060109296,9.743787874859098
E0_gust_dose_response,19.75510205541338,1.8645876294894288,10.081973678782763
E0_gust_dose_response,20.27142858505249,1.9623777529679287,10.453066983841271
E0_gust_dose_response,20.7877551146916,2.0601678764464286,10.859812899622273
E0_gust_dose_response,21.304081644330708,2.1579579999249283,11.305281692637235
E0_gust_dose_response,21.820408173969813,2.2557481234034276,11.79290686482755
E0_gust_dose_response,22.336734703608922,2.3535382468819273,12.326528517238087
E0_gust_dose_response,22.85306123324803,2.4513283703604274,12.910442755281615
E0_gust_dose_response,23.369387762887136,2.5491184938389266,13.549458011634604
E0_gust_dose_response,23.885714292526245,2.6469086173174263,14.24895930214298
E0_gust_dose_response,24.402040822165354,2.744698740795926,15.014981592653914
E0_gust_dose_response,24.918367351804463,2.842488864274426,15.854293644547614
E0_gust_dose_response,25.434693881443568,2.9402789877529254,16.774493928804677
E0_gust_dose_response,25.951020411082677,3.038069111231425,17.784120458506944
E0_gust_dose_response,26.467346940721786,3.135859234709925,18.892776694624597
E0_gust_dose_response,26.98367347036089,3.233649358188424,20.111276037986705
E0_gust_dose_response,27.5,3.331439481666924,21.451807841236803
R0c_gust_dose_response,2.200000047683716,-1.461762260274403,8.672391940072751
R0c_gust_dose_response,2.716326577322824,-1.363909029982612,8.47022877590767
R0c_gust_dose_response,3.2326531069619318,-1.2660557996908208,8.286248368178542
R0c_gust_dose_response,3.7489796366010393,-1.16820256939903,8.119463148887366
R0c_gust_dose_response,4.265306166240148,-1.0703493391072387,7.968989345901639
R0c_gust_dose_response,4.781632695879255,-0.972496108815448,7.834039192481794
R0c_gust_dose_response,5.297959225518363,-0.874642878523657,7.713914062046297
R0c_gust_dose_response,5.814285755157471,-0.7767896482318659,7.607998444504725
R0c_gust_dose_response,6.330612284796579,-0.678936417940075,7.515754691492469
R0c_gust_dose_response,6.846938814435687,-0.5810831876482839,7.43671846771776
R0c_gust_dose_response,7.363265344074795,-0.48322995735649293,7.370494854543985
R0c_gust_dose_response,7.879591873713903,-0.3853767270647019,7.316755060022454
R0c_gust_dose_response,8.39591840335301,-0.28752349677291106,7.27523369699078
R0c_gust_dose_response,8.912244932992117,-0.1896702664811202,7.245726597676148
R0c_gust_dose_response,9.428571462631226,-0.09181703618932903,7.228089139596176
R0c_gust_dose_response,9.944897992270334,0.006036194102462156,7.222235063529408
R0c_gust_dose_response,10.461224521909442,0.103889424394253,7.22813577002275
R0c_gust_dose_response,10.977551051548549,0.20174265468604385,7.245820086399214
R0c_gust_dose_response,11.493877581187657,0.299595884977835,7.275374501607082
R0c_gust_dose_response,12.010204110826765,0.3974491152696259,7.316943871590555
R0c_gust_dose_response,12.526530640465873,0.49530234556141706,7.370732603240072
R0c_gust_dose_response,13.04285717010498,0.5931555758532079,7.437006330477093
R0c_gust_dose_response,13.55918369974409,0.691008806144999,7.516094101724381
R0c_gust_dose_response,14.075510229383196,0.78886203643679,7.608391103993543
R0c_gust_dose_response,14.591836759022303,0.8867152667285808,7.714361955176527
