period,target,n,rank,columns,status,physical_linear_gust,physical_quadratic_gust,pressure_physical,source,cross_period_independence_assumed,CV_inverse_variance_interval,physical_linear_SE,physical_quadratic_SE,reference_distribution,nominal_independent_CV_interval,failure_reason
development,R0c,599,27,27,descriptive_full_fit_available,0.011503482569954915,-0.0006771849110619448,1013.2295828925239,single full fit and its own scaler,False,,0.05056877286461452,0.002260913842219034,not converted into a cross-period hypothesis test,,
later,R0c,121,20,21,blocked_calendar_design_rank_deficient,,,,,,,,,,,additive year/month coding not full rank in this period; no silent term dropping or H0 fallback
