Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-12471-O,0,2023-01-19,E09000010,0.0,2.5322220648010174,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-157466-Z,0,2021-12-19,E06000055,0.0,2.0518861843411376,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-164894-Z,0,2021-05-09,E07000098,0.0,1.7445997930783272,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-19197-U,0,2021-10-22,E09000021,3.2535992609265865,1.9097509605745349,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-205270-J,0,2024-01-25,E09000005,0.0,2.1217120035548196,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-213716-J,0,2023-12-02,E09000026,0.0,2.381600713543229,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-226846-Z,0,2021-04-24,E07000011,0.0,1.3591452859427342,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-232427-Z,0,2021-04-22,E06000060,1.1989602625023918,1.6809890644364,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-237941-Z,0,2021-06-02,E06000031,0.0,1.997532391595478,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-239992-Z,0,2021-06-01,E07000241,2.2353763433005955,1.9798525233977442,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-246493-Z,0,2021-07-02,E07000066,3.351072994479587,2.232241821323573,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-249562-G,0,2021-04-22,E07000227,2.403937587254333,1.3322727879114382,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-250419-G,0,2021-05-09,E07000110,1.9266787871274256,1.7159526681330333,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-250745-G,0,2021-05-15,E07000208,1.377926111449374,2.1143278496837805,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-253463-Z,0,2021-08-04,E07000102,2.5915163848462583,2.0965776412636603,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-255133-Z,0,2021-08-12,E07000096,2.9652730660692823,1.9068382284844452,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-255955-Z,0,2021-08-17,E07000070,1.9694406464655074,1.592616187437378,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-256351-G,0,2021-10-07,E07000217,3.1668805297498204,1.5525701349899883,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-257464-G,0,2021-11-15,E07000107,2.4709204078132605,1.4645410147091174,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-258670-Z,0,2021-09-02,E09000014,2.2755564206061263,2.0066932831916815,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-260356-G,0,2021-12-11,E07000223,1.9855886328734895,2.0934656835637413,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-261320-G,0,2021-12-22,E09000027,-1.791759469228055,2.048796621197158,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-261723-Z,0,2021-09-23,E06000055,1.9647786333596962,1.8370788523472288,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-262060-J,0,2021-04-22,E09000004,1.466337068793427,1.9056728414230133,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-262732-G,0,2022-01-10,E07000212,1.4891517465595985,2.274699051778426,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-263307-G,0,2022-01-15,E07000227,0.6241543090729939,1.658450415521286,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-266908-G,0,2022-02-18,E07000108,1.8794650496471605,1.844960660202971,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-267413-J,0,2021-07-02,E09000002,2.3207523969494948,2.320813642469548,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-267894-J,0,2021-07-19,E09000025,0.9360933591703348,1.8595313961251532,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-268286-Z,0,2021-11-04,E07000203,2.1766438696361985,0.8838118544421811,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-270607-Z,0,2021-11-21,E09000003,1.1837700970084166,1.4971350045752974,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-274307-G,0,2022-03-26,E07000114,-1.1499055830556604,1.422493370380896,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-275680-Z,0,2021-12-20,E07000076,2.0815227078836607,1.415329424417528,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-278126-Z,0,2022-01-08,E07000243,1.462483499477437,2.32839254647225,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-278139-G,0,2022-05-08,E07000113,1.0930412436186543,1.3681653139410552,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-278309-Z,0,2022-01-10,E07000096,2.683302031413016,2.568559576995571,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-278661-G,0,2022-05-12,E07000114,2.8641038310755547,1.8550156392921093,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-279167-G,0,2022-05-17,E07000063,0.8183103235139513,1.7468733819005653,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-281246-G,0,2022-06-08,E07000065,2.4807312783775197,1.5073770629321437,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-284283-G,0,2022-07-10,E07000217,0.6505875661411494,1.7248819557889459,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-285914-G,0,2022-07-23,E09000008,2.479335604738545,2.2044699153230543,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-286152-Z,0,2022-02-18,E07000076,2.5468376075184906,1.3374395986641407,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-286182-Z,0,2022-02-18,E07000069,1.3694872428035094,2.01840849846685,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-288567-J,0,2022-05-17,E09000019,2.1262456078776384,1.4597961058978233,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-290034-G,0,2022-09-04,E07000106,2.7397641765917378,1.6524167445975046,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-290384-J,0,2022-06-12,E09000026,2.7942278973432626,1.9292257295590962,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-292922-G,0,2022-10-05,E07000226,0.9619012431262074,1.8531670158039606,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-293100-G,0,2022-10-02,E07000211,2.524394421295119,1.7030553485157602,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-293374-J,0,2022-07-23,E09000013,2.4159137783010487,2.2222291355548687,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-294417-J,0,2022-08-08,E09000012,2.0390534807745477,1.48636541687778,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-295203-J,0,2022-08-19,E09000023,1.9459101490553132,1.6761545073546178,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-295351-G,0,2022-10-23,E07000112,1.8055527913603908,2.0755096349938587,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-295445-Z,0,2022-03-21,E07000145,2.3092296357127142,1.659712088689958,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-296060-Z,0,2022-03-24,E07000011,5.150880211607584,0.8010428463601754,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-296681-Z,0,2022-09-23,E07000241,0.0,2.2284046304232126,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-297946-Z,0,2022-04-05,E07000146,1.5651376535375203,1.2870229980781438,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-298290-J,0,2022-09-30,E09000031,1.8191584434161694,1.9299109662563003,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-299114-Z,0,2022-04-10,E07000011,4.686903771014761,1.7936585536527458,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-300924-Z,0,2022-04-21,E07000071,2.7767467323884447,1.7582398624142146,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-300995-G,0,2022-12-08,E09000006,3.5322256440685598,2.504953130894278,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-304019-G,0,2022-12-30,E07000105,2.066862759472976,2.086537163566513,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-304021-J,0,2022-12-06,E09000032,5.441695949393384,2.1999389642999123,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-307296-J,0,2023-01-10,E09000024,2.8410258837930096,1.9548021366451125,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-308522-G,0,2023-02-01,E07000223,3.106080330722856,1.866853228574087,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-310213-Z,0,2022-06-16,E07000146,2.0815227078836607,1.00412814858823,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-310456-J,0,2023-02-13,E09000022,4.078102256120678,1.4038003158894654,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-310464-J,0,2023-02-13,E09000021,3.505557396986398,1.3627779127961803,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-310567-Z,0,2022-06-18,E09000014,6.820234681452642,1.7646543346765713,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-313905-J,0,2023-03-28,E09000031,2.4709204078132605,1.2668207010568278,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-315316-G,0,2023-04-12,E06000043,-1.791759469228055,1.614380628367745,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-316510-G,0,2023-04-23,E07000062,2.6878474937846906,1.6724711075953322,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-316958-Z,0,2022-07-20,E07000011,1.0589470322756782,1.7179894552603838,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-317598-J,0,2023-05-19,E09000019,2.359280436670591,1.8193937936236564,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-318465-G,0,2023-05-14,E07000109,3.6185463992680287,1.7277865596235857,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
FREP-319160-G,0,2023-05-21,E07000226,-0.2657031657330056,1.8498364554431508,1.730123126926894,OOF_date_group_diagnostic,log_D,R03_smoke_v4,non_inferential_smoke
