Incident Reference,new_source_row,new_start_utc,new_stage,old_source_row,old_start_utc,old_stage,representative_row_changed,time_diff_hours_old_minus_new,new_gust_0h,old_gust_0h,gust_0h_diff,lat,lon,weather_status_v3,cause_group_official,cache_status,lat_r,lon_r,recomputed_gust_0h,recomputed_pressure_msl_0h,recomputed_temperature_0h,recomputed_precip_24h_sum
FREP-281354-G,208174,2022-06-09 08:30:00+00:00,1,13796,2022-06-09 08:57:00+00:00,2,True,0.45,,,,51.0918308945304,-0.0756676219650012,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.1,-0.1,,,,
FREP-278992-G,33674,2022-05-16 14:55:00+00:00,3,14133,2022-05-16 17:01:00+00:00,2,True,2.1,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-414543-Z,141202,2023-12-19 21:48:00+00:00,1,126367,2023-12-19 23:18:00+00:00,2,True,1.5,,,,51.8762753945112,0.771662296345226,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.9,0.8,,,,
FREP-61310-C,69518,2022-03-01 10:48:00+00:00,1,52124,2022-03-01 13:56:00+00:00,2,True,3.1333333333333333,,,,52.4560453882952,1.56717287386022,weather_request_unavailable,non_fault_or_unknown,not_found_needs_new_request,52.5,1.6,,,,
FREP-322537-Z,88084,2022-08-17 19:26:00+00:00,2,58307,2022-08-17 23:30:00+00:00,1,True,4.066666666666666,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-321898-G,147449,2023-06-15 12:28:00+00:00,2,142130,2023-06-15 14:17:00+00:00,1,True,1.8166666666666669,,,,,,invalid_time_or_coordinate,third_party,no_coordinates,,,,,,
FREP-248325-Z,28235,2021-07-13 03:03:00+00:00,7,1019,2021-07-13 08:46:00+00:00,1,True,5.716666666666667,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-13969-W,55544,2022-01-14 04:43:00+00:00,1,38117,2022-01-14 06:10:00+00:00,4,True,1.45,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-281495-G,170681,2022-06-10 20:39:00+00:00,2,92990,2022-06-11 02:18:00+00:00,3,True,5.65,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-75122-V,147912,2021-11-12 07:21:00+00:00,6,7104,2021-11-12 18:00:00+00:00,4,True,10.65,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-427252-Z,68016,2024-02-21 17:57:00+00:00,1,41249,2024-02-22 00:00:00+00:00,7,True,6.05,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-282246-G,33578,2022-06-18 23:01:00+00:00,4,17989,2022-06-19 12:17:00+00:00,9,True,13.266666666666667,,,,,,invalid_time_or_coordinate,weather_natural,no_coordinates,,,,,,
FREP-290685-G,138332,2022-09-09 06:49:00+00:00,1,23995,2022-09-09 11:03:00+00:00,6,True,4.233333333333333,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-316875-J,9718,2023-05-09 20:07:00+00:00,1,9717,2023-05-09 23:54:00+00:00,3,True,3.783333333333333,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-239575-Z,89285,2021-05-28 03:17:00+00:00,2,88837,2021-05-28 04:02:00+00:00,1,True,0.75,,,,51.857471175924,0.519827025455693,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.9,0.5,,,,
FREP-311566-G,231535,2023-03-04 16:10:00+00:00,2,29536,2023-03-05 12:24:00+00:00,1,True,20.23333333333333,,,,,,invalid_time_or_coordinate,technical_asset,no_coordinates,,,,,,
FREP-15807-W,234,2023-07-15 19:02:00+00:00,38,232,2023-07-15 19:03:00+00:00,25,True,0.0166666666666666,,,,,,invalid_time_or_coordinate,weather_natural,no_coordinates,,,,,,
FREP-56996-C,65469,2021-11-20 12:02:00+00:00,1,12114,2021-11-20 18:22:00+00:00,2,True,6.333333333333333,,,,51.9165044922591,-0.652661449686785,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.9,-0.7,,,,
FREP-280582-G,99352,2022-05-31 07:24:00+00:00,1,5825,2022-05-31 10:40:00+00:00,2,True,3.2666666666666666,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-50406-C,229486,2021-07-23 07:58:00+00:00,1,13287,2021-07-23 15:24:00+00:00,2,True,7.433333333333334,,,,51.9373446584528,1.02343554475614,weather_request_unavailable,external_or_customer,not_found_needs_new_request,51.9,1.0,,,,
FREP-241221-Z,186001,2021-05-30 17:05:00+00:00,1,176015,2021-05-31 18:30:00+00:00,3,True,25.416666666666668,,,,,,invalid_time_or_coordinate,external_or_customer,no_coordinates,,,,,,
FREP-264855-G,227159,2022-01-30 12:41:00+00:00,1,227157,2022-01-30 16:35:00+00:00,2,True,3.9,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-292303-G,98170,2022-09-26 07:23:00+00:00,1,98169,2022-09-26 09:10:00+00:00,2,True,1.7833333333333334,,,,,,invalid_time_or_coordinate,non_fault_or_unknown,no_coordinates,,,,,,
FREP-250635-G,231886,2021-05-13 10:49:00+00:00,1,137547,2021-05-13 11:54:00+00:00,2,True,1.0833333333333333,,,,50.9326754669225,-0.173555041823775,weather_request_unavailable,external_or_customer,not_found_needs_new_request,50.9,-0.2,,,,
