model,fold,beta1,beta2,turning_point_z
R0c_prime_B_WT,0,-0.011698819692752056,0.059171090476909945,0.09885587369153888
R0c_prime_B_WT,1,0.005804396454970424,0.07155676536422109,-0.040557985156443814
R0c_prime_B_WT,2,0.0022615108574589923,0.08725181695285174,-0.012959677726144344
R0c_prime_B_WT,3,0.009665229231886806,0.08072494180122691,-0.059865197894387996
R0c_prime_B_WT,4,-0.0033704161669427723,0.08121941790710764,0.02074883232232462
