binning,bin,gust_min,gust_max,n_total,n_weather_technical,pct_weather_technical,customers_v2_mean_all6,customers_v2_mean_wt_only,duration_B_mean_all6,duration_B_mean_wt_only,pct_technical_asset,pct_non_fault_or_unknown,pct_weather_natural,pct_third_party,pct_external_or_customer,pct_human_error
equal_width,"(0.361, 4.3]",0.4000000059604645,4.199999809265137,13432,6313,46.99970220369267,69.77041120381406,102.91920152091255,11.092388822711932,17.997077459211148,43.76116736152472,44.72900536033353,3.2385348421679576,6.030375223347231,1.6825491363907086,0.5583680762358547
equal_width,"(4.3, 8.2]",4.300000190734863,8.199999809265137,41088,20302,49.41102024922118,66.6133934007062,90.58540671035128,10.816221686786086,17.291534495780382,44.79896806853583,40.31590732087228,4.6120521806853585,8.22381230529595,1.5746690031152648,0.47459112149532706
equal_width,"(8.2, 12.1]",8.300000190734863,12.100000381469728,35030,17735,50.628033114473304,57.966580022279985,74.38246742257573,10.449213531258922,16.502801428437177,44.61604339137882,37.85041393091636,6.011989723094491,9.537539252069655,1.4987153868113046,0.4852983157293748
equal_width,"(12.1, 16.0]",12.199999809265137,16.0,16995,9075,53.398058252427184,62.91300765155974,81.89542699724518,10.708167107972933,15.523546372819101,43.20682553692262,36.54015887025596,10.19123271550456,8.184760223595175,1.5357458075904677,0.34127684613121506
equal_width,"(16.0, 19.9]",16.100000381469727,19.89999961853028,6813,4086,59.97357992073976,85.67934782608695,104.89789422135162,12.024223298595821,17.51793522597487,37.06150007338911,32.907676500807284,22.912079847350654,5.239982386613827,1.5558491119917803,0.32291207984735065
equal_width,"(19.9, 23.8]",20.0,23.799999237060547,2386,1674,70.15926236378877,156.8092243186583,187.87395459976105,18.893594579491477,24.183363201911586,25.14668901927913,25.775356244761106,45.01257334450964,3.2271584241408213,0.7963118189438391,0.041911148365465216
equal_width,"(23.8, 27.7]",23.89999961853028,27.700000762939453,929,739,79.54790096878364,212.68675995694295,233.20974289580514,23.542285611768925,27.905209742895806,16.469321851453174,19.052744886975244,63.078579117330456,1.1840688912809472,0.2152852529601722,0.0
equal_width,"(27.7, 31.6]",27.799999237060547,31.600000381469727,423,355,83.92434988179669,287.02836879432624,297.84788732394367,44.62478329393223,50.212112676056336,10.401891252955082,14.420803782505912,73.5224586288416,1.4184397163120568,0.0,0.2364066193853428
equal_width,"(31.6, 35.5]",31.700000762939453,35.5,187,161,86.09625668449198,256.7379679144385,284.30434782608694,61.99803921568626,68.0008281573499,9.090909090909092,13.903743315508022,77.00534759358288,0.0,0.0,0.0
equal_width,"(35.5, 39.4]",35.70000076293945,39.400001525878906,15,13,86.66666666666667,357.0,410.15384615384613,65.33333333333333,67.6974358974359,0.0,13.333333333333334,86.66666666666667,0.0,0.0,0.0
