path,task,model,config,split,start_tau,start_h,tau,h,b,objective,success,status,message,iterations,tau_at_bound,h_at_bound,b_at_bound
development,E_log,S04,"{""control_lambda"":0.001}",P2,18.0,5.0,12.641243552207321,0.05000000000000001,0.039854203746991,3.7376268775500274,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,14,False,True,False
development,E_log,S04,"{""control_lambda"":0.001}",P3,11.219999885559082,0.5,18.47341311859231,0.17418534523395748,0.009055761253994321,4.67900043289022,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,False,False,False
development,E_log,S04,"{""control_lambda"":0.001}",P3,11.219999885559082,2.0,18.298046129034375,0.05000000000000001,0.00904858154874888,4.67899225650982,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6,False,True,False
development,E_log,S04,"{""control_lambda"":0.001}",P3,11.219999885559082,5.0,18.2536141711587,0.051033992283297726,0.009036812479163103,4.678992392899875,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6,False,False,False
development,E_log,S04,"{""control_lambda"":0.001}",P3,20.0,0.5,18.55454563641759,0.1908647575702895,0.009075273920175597,4.679000953945522,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,False,False,False
development,E_log,S04,"{""control_lambda"":0.001}",P3,20.0,2.0,18.566359257273962,0.17195559207351663,0.00907837541513734,4.679000723967731,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,False,False,False
development,E_log,S04,"{""control_lambda"":0.001}",P3,20.0,5.0,19.168710275080713,0.05000000000000001,0.009297616710702394,4.678989951504567,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,4,False,True,False
development,E_log,S04,"{""control_lambda"":0.001}",P3,25.200000762939453,0.5,25.200000762939453,0.5,0.0,4.679866704995711,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,E_log,S04,"{""control_lambda"":0.001}",P3,25.200000762939453,2.0,25.200000762939453,2.0,0.0,4.679866704995711,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,E_log,S04,"{""control_lambda"":0.001}",P3,25.200000762939453,5.0,25.199998276040084,5.0000586201196855,0.00036077787390009775,4.679866286193015,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1,False,False,False
development,E_log,S04,"{""control_lambda"":0.001}",P3,30.5,0.5,30.5,0.5,0.0,4.679866704995711,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,E_log,S04,"{""control_lambda"":0.001}",P3,30.5,2.0,30.5,2.0,0.0,4.679866704995711,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,E_log,S04,"{""control_lambda"":0.001}",P3,30.5,5.0,30.5,4.999999999999999,0.0,4.679866704995711,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,E_log,S04,"{""control_lambda"":0.1}",P1,8.699999809265137,0.5,11.013936613139192,0.05000000000000001,0.037950648562421696,4.684762039358719,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,8.699999809265137,2.0,11.014437369560316,0.05000000000000001,0.03795105708455471,4.68476203927994,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,8.699999809265137,5.0,11.013713576065527,0.05000000000000001,0.0379504665243271,4.6847620395479606,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,19.0,0.5,11.018178531323317,0.05000000000000001,0.03795410111088704,4.684762053798501,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,11,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,19.0,2.0,11.01340059923049,0.05000000000000001,0.03795021099377571,4.684762039973821,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,19.0,5.0,11.015449617487192,0.05000000000000001,0.037951882107731594,4.684762040581462,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,17,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,24.399999618530273,0.5,11.009948077219427,0.05000000000000001,0.03794738552715393,4.684762057125299,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,24.399999618530273,2.0,11.013078759751012,0.05000000000000001,0.03794994812310026,4.684762040607078,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,24.399999618530273,5.0,11.013078759751012,0.05000000000000001,0.03794994812310026,4.684762040607078,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,30.30999927520751,0.5,30.30999927520751,0.5,0.0,4.71291136267399,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0,False,False,True
development,E_log,S04,"{""control_lambda"":0.1}",P1,30.30999927520751,2.0,11.013078759751012,0.05000000000000001,0.03794994812310026,4.684762040607078,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,15,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P1,30.30999927520751,5.0,11.013078759751012,0.05000000000000001,0.03794994812310026,4.684762040607078,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,5.400000095367432,0.5,12.626033992647837,0.05000000000000001,0.04962760210577444,3.7850786024814584,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,16,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,5.400000095367432,2.0,12.626017587177092,0.05000000000000001,0.049627482545899104,3.7850786025052927,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,12,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,5.400000095367432,5.0,12.62574728770698,0.05000000000000001,0.049625512044842335,3.7850786032045987,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,8,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,10.800000190734863,0.5,12.626358250729629,0.05000000000000001,0.049629964364127366,3.785078602447464,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,10.800000190734863,2.0,12.626272650146687,0.05000000000000001,0.0496293409149724,3.7850786023755942,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,10.800000190734863,5.0,12.626227084504942,0.05000000000000001,0.04962900900253919,3.7850786023609904,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,14.100000381469727,0.5,12.626190614091577,0.05000000000000001,0.04962874331859801,3.785078602361141,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,10,False,True,False
development,E_log,S04,"{""control_lambda"":0.1}",P2,14.100000381469727,2.0,12.62617694512474,0.05000000000000001,0.049628643735900146,3.785078602363909,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,5,False,True,False
