term,coef
Intercept,3.5775537909837789
log_gust,-0.057639567805959122
z_precipitation_24h_sum,0.026135267604944529
z_temperature_0h,-0.018594940321729779
z_pressure_msl_0h,-0.12914631176502681
z_gust_pressure,-0.1590653157648485
urban_binary,-0.16028633483251681
log_population,-0.085757052735559558
income_deprivation_rate,-3.2690319758043702
deprivation_gap_pct,0.18609828375262449
morans_i,-0.013749653910769381
incident_year[2022],0.1024920653683048
incident_year[2023],0.0035238833599712601
incident_year[2024],-0.031990697124340009
incident_month[2],0.088974809963545093
incident_month[3],-0.054120737377461321
incident_month[4],-0.10072734468551239
incident_month[5],7.584272665560202e-05
incident_month[6],0.25802447176137772
incident_month[7],0.30207942047387593
incident_month[8],0.13735195423283361
incident_month[9],0.073421562660882955
incident_month[10],-0.057966057687559733
incident_month[11],-0.17532289281322311
incident_month[12],0.049111960706508077
