reference_decile,decile_index,decile_range,term,coefficient_vs_reference_decile1,std_error,ci_low,ci_high,p_value
"(-0.001, 1.0]",1,"(1.0, 2.0]",customers_decile_1,0.5898721416694854,0.029995522816725684,0.5310809169487031,0.6486633663902678,4.272971683928481e-86
"(-0.001, 1.0]",2,"(2.0, 8.0]",customers_decile_2,0.4449619619685804,0.030365152470781066,0.3854462631258495,0.5044776608113113,1.2756715595315842e-48
"(-0.001, 1.0]",3,"(8.0, 23.0]",customers_decile_3,0.3391632645811661,0.029236489778462955,0.28185974461537866,0.3964667845469535,4.088001223847029e-31
"(-0.001, 1.0]",4,"(23.0, 59.0]",customers_decile_4,0.38521129640327656,0.03651134049169536,0.31364906903955364,0.4567735237669995,5.055108012485928e-26
"(-0.001, 1.0]",5,"(59.0, 212.0]",customers_decile_5,0.06727362948786351,0.0442548651993447,-0.019465906302852096,0.1540131652785791,0.1284755735264915
"(-0.001, 1.0]",6,"(212.0, 27013.0]",customers_decile_6,-0.4557000230016419,0.04111656155715178,-0.5362884836536594,-0.37511156234962445,1.5148970935583085e-28
