label,decile,n,x_min,x_max,x_median,y_mean,y_median
n_stages>=5,"(-0.001, 18.0]",579,0.0,18.0,11.0,19.65693724812896,14.583333333333334
n_stages>=5,"(18.0, 31.0]",578,19.0,31.0,24.0,18.30308535178777,13.333333333333334
n_stages>=5,"(31.0, 45.0]",544,32.0,45.0,38.0,16.140042892156863,12.733333333333334
n_stages>=5,"(45.0, 62.0]",565,46.0,62.0,54.0,16.89023598820059,12.266666666666667
n_stages>=5,"(62.0, 87.0]",550,63.0,87.0,73.0,14.880545454545453,11.774999999999999
n_stages>=5,"(87.0, 138.0]",538,88.0,138.0,108.0,15.279677819083025,11.475000000000001
n_stages>=5,"(138.0, 272.9]",557,139.0,272.0,188.0,13.941591861160981,9.533333333333331
n_stages>=5,"(272.9, 503.0]",560,273.0,503.0,380.5,13.884494047619048,7.05
n_stages>=5,"(503.0, 1025.0]",559,504.0,1025.0,707.0,14.579815146094216,6.233333333333333
n_stages>=5,"(1025.0, 27013.0]",558,1026.0,27013.0,1645.0,13.199880525686979,4.6083333333333325
