label,decile,n,x_min,x_max,x_median,y_mean,y_median
weather_natural_log_scale,"(-0.001, 0.693]",1648,0.0,0.6931471805599453,0.6931471805599453,1.922710214451906,1.7477400488897314
weather_natural_log_scale,"(0.693, 1.609]",750,1.0986122886681098,1.6094379124341003,1.2424533248940002,2.1048769326396255,1.8562979903656263
weather_natural_log_scale,"(1.609, 2.485]",749,1.791759469228055,2.4849066497880004,2.0794415416798357,2.011962838882664,1.7945333961107803
weather_natural_log_scale,"(2.485, 3.367]",732,2.5649493574615367,3.367295829986474,2.9444389791664403,1.7194441600508918,1.6259618394572004
weather_natural_log_scale,"(3.367, 4.248]",752,3.4011973816621555,4.248495242049359,3.8066624897703196,1.509712568312657,1.3480731482996928
weather_natural_log_scale,"(4.248, 5.05]",770,4.2626798770413155,5.049856007249537,4.68213122712422,1.350566038251979,1.2832433183902114
weather_natural_log_scale,"(5.05, 5.684]",765,5.056245805348308,5.683579767338681,5.375278407684165,1.4661592447522767,1.4586150226995167
weather_natural_log_scale,"(5.684, 6.261]",770,5.68697535633982,6.261491684321042,5.971261839790462,1.3770843429579653,1.4527822024652903
weather_natural_log_scale,"(6.261, 10.005]",769,6.263398262591624,10.004734619552412,6.742880635791903,1.688154309668188,1.6027489242833037
