term,coef,se,p_t_G1,se_lad
Intercept,2.567036099143498,0.7559109362725966,0.0009726766733504187,0.7519946867305884
z_gust_0h,-0.15680360342456645,0.09443112166460112,0.09985373877323969,0.05024864770686609
z_precipitation_24h_sum,0.05232193748675346,0.022442960467194316,0.02168339559582749,0.017871057762035115
z_temperature_0h,-0.04748732004398471,0.05706021530106754,0.4072035946336201,0.0255340568274438
z_pressure_msl_0h,-0.10303170623926969,0.03443911250619171,0.0034717475214917307,0.023181051948442912
z_gust_pressure,0.05858823360523699,0.03503180085206281,0.09747462342813604,0.02491728381914083
urban_binary,0.0028562189440144354,0.04877469310249508,0.9534164747350036,0.05367220299866769
log_population,-0.13023357611456177,0.061420804915830005,0.03637809657505431,0.06238023522569302
income_deprivation_rate,-4.029073600792151,1.1652903739283997,0.00079359317297323,1.1966607752765777
deprivation_gap_pct,1.3291223115124093,0.48406986752,0.007126384613100697,0.5460351537172737
morans_i,0.08572497204761399,0.23185208361907073,0.7123353960273396,0.25796616566788433
incident_year[2022],0.2882787331906138,0.05238111587335909,2.7381052343378053e-07,0.033886917062353576
incident_year[2023],0.08399453935882056,0.04988300528403181,0.09524276979983752,0.04050710574405696
incident_year[2024],-0.19843896856917648,0.1471410983828172,0.1804135414879113,0.08789965740587616
incident_month[2],0.7634905628865477,0.16098100765616513,6.801674312698005e-06,0.07274979070542228
incident_month[3],-0.355347068875679,0.1295346753334573,0.007176384029054042,0.08036706372676301
incident_month[4],-0.3407396382806884,0.1330832632785034,0.011907344274041158,0.08848422272958271
incident_month[5],-0.30880778422560334,0.14538310551190164,0.03605592579529237,0.09500366637303763
incident_month[6],0.03682519948065734,0.1586255257046449,0.8168807541457633,0.09174134431224217
incident_month[7],0.05012199829026225,0.15843654596448678,0.7523742281663841,0.09541920345106947
incident_month[8],-0.002616639671144314,0.16338254088463866,0.9872530730971014,0.09149707174661686
incident_month[9],-0.13065677427696,0.16245405664887033,0.42309402076297903,0.10383996030381709
incident_month[10],-0.20113161833708504,0.1573153640923587,0.20393778512973368,0.10226787062662297
incident_month[11],-0.30509998848001363,0.14035224594782492,0.03200939597057311,0.09541364432109489
incident_month[12],-0.2981118346883973,0.14016361644157613,0.03581784425001935,0.08775214936632886
z_customers_v2_log1p,-0.288542009452457,0.03073270556431951,1.691668398517971e-15,0.019148246255201184
z_cust_sq,0.09509785879673906,0.026865394314954365,0.0006026032453746258,0.02453457628687388
gust_hinge_11,0.08512638334769455,0.021311896374567058,0.00012194885228988602,0.01047912483324621
