Incident Reference,run_id,purpose,input_version,window_list,window_count,was_in_this_fit,tail_excluded_from_fit,model_fold,fit_model_key,model_training_tail_policy,training_threshold_hours,prediction_source,target_scale,y,prediction_eta,squared_error_log
FREP-14132-W,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Franklin,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,3.044522437723423,1.9819302672379795,1.1291021207769658
FREP-15108-O,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Ciaran,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.0,1.4368052457857696,2.0644093143175057
FREP-258555-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,6.0112671744041615,1.2306926452746625,22.85389282856173
FREP-258615-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.6931471805599453,1.458105216300388,0.5851607964438765
FREP-258735-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,1.3862943611198906,2.389580770914864,1.0065836200792873
FREP-258869-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,3.4657359027997265,1.7857477814124367,2.8223600880023954
FREP-266908-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Eunice,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,4.709530201312334,3.4883556076636095,1.491267388173127
FREP-269982-G,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Franklin,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.6931471805599453,1.932701688753732,1.5364953787835403
FREP-271719-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,0.6931471805599453,1.8128633708129818,1.2537643467147739
FREP-271792-Z,R03_smoke_v4,non_inferential_smoke,R02_input_20260905,Arwen,1,True,False,-1,full_model,all_valid,,full_sample_descriptive,log1p_C,3.332204510175204,1.6236299023697258,2.919227190437643
