variable,VIF
z_gust_0h,2.2429911526760105
z_gust_0h_sq,4.018095610856665
z_precipitation_24h_sum,1.4369321974456457
z_temperature_0h,3.115852174937085
z_pressure_msl_0h,1.9023502463026574
z_gust_pressure,3.087791795575078
urban_binary,4.558146441697242
log_population,41.88881126791023
income_deprivation_rate,23.058449274620063
deprivation_gap_pct,42.492164789350674
morans_i,8.246361715601827
incident_year[2022],2.913083579122393
incident_year[2023],2.8084315667955404
incident_year[2024],2.396738797233869
incident_month[2],2.347494715120143
incident_month[3],1.9662369773547805
incident_month[4],2.0450600307034463
incident_month[5],2.5146786455058545
incident_month[6],3.428885464214997
incident_month[7],3.783419522340824
incident_month[8],3.188881793345101
incident_month[9],2.97527834954186
incident_month[10],2.873989273252332
incident_month[11],2.481855090780673
incident_month[12],2.3472003895252955
