variable,VIF
z_gust_0h,1.9295602244120436
z_gust_0h_sq,3.076304565325291
z_precipitation_24h_sum,1.4026800463803224
z_temperature_0h,1.0242807057467183
z_pressure_msl_0h,1.7094586323861056
z_gust_pressure,2.628549594315741
urban_binary,1.1636097464365829
log_population,1.3375479291091514
income_deprivation_rate,2.575618397727082
deprivation_gap_pct,3.753147928207246
morans_i,2.507684301901079
