variable,VIF
z_gust_0h,2.2559248306501387
z_gust_0h_sq,3.2410706466189367
z_precipitation_24h_sum,1.4372573356418263
z_temperature_0h,3.1361013852537414
z_pressure_msl_0h,1.9058923701585309
z_gust_pressure,2.696439227385175
urban_binary,1.1648980927088888
log_population,1.338883993145238
income_deprivation_rate,2.577535391847808
deprivation_gap_pct,3.754600247885265
morans_i,2.5087564887417146
incident_year[2022],1.9434276811553015
incident_year[2023],1.860801115279714
incident_year[2024],2.178221406511618
incident_month[2],2.1007793887831148
incident_month[3],1.8206643558805493
incident_month[4],1.937104591266246
incident_month[5],2.3663174424955953
incident_month[6],3.214777765351693
incident_month[7],3.537694235998781
incident_month[8],3.0256431879383436
incident_month[9],2.824896418181027
incident_month[10],2.686795201536177
incident_month[11],2.308118228143174
incident_month[12],2.1735757213437905
