fold,n_test,n_train,sse,rmse,k
0,12360,48077,48935.938184668601,1.9897784549367472,28
1,11776,48661,48699.942504195526,2.0335990285324503,28
2,11537,48900,44794.878686121097,1.9704605121604508,28
3,11887,48550,46046.07213407915,1.9681589225423002,28
4,12877,47560,49826.127262312577,1.967076357637948,28
