LAD21CD,pred_customers_v2,pred_duration_B
E06000031,6.146247082270294,7.620387769825791
E06000032,6.180624044635896,7.740814605370848
E06000033,6.616062824643828,7.539658935863289
E06000034,6.774162492778753,7.729049965485154
E06000035,6.5095384492048645,7.690289465257234
E06000043,6.7620865804503785,7.558601698417199
E06000055,7.090366897660287,7.649176645576942
E06000056,8.922990320776648,6.537200283111644
E06000060,7.487367557824496,7.764517039040075
E07000008,8.025862602487464,7.576213384900667
E07000009,9.939051065924398,5.98696694608151
E07000010,7.950435749159474,6.358836643453762
E07000011,9.283745850296603,6.655421184367755
E07000012,9.901357736539262,6.212893323332
E07000061,6.793214022852892,7.524129725739439
E07000062,5.819180159819493,7.321691816588856
E07000063,7.687870521369401,7.688128486697149
E07000064,8.846958307589471,6.587820594603491
E07000065,9.45897610821736,6.590210798710749
E07000066,6.541978163205716,8.113404396919005
E07000067,8.888487515549345,6.416529759368086
E07000068,8.750143674665399,7.104050031332113
E07000069,7.724144426392694,7.47376513958707
E07000070,7.970779701726305,7.2260068179117924
E07000071,7.380779426728903,7.637580424831464
E07000072,7.75161204131926,7.2800016757632555
E07000073,6.891444894933452,7.648336887556831
E07000074,9.700320520096602,6.179406225110045
E07000075,8.533930950728054,7.372872976766992
E07000076,7.229997950986498,6.701762332284327
E07000077,10.344632659131689,6.271045018885774
E07000095,7.52747530988108,7.39844622378573
E07000096,7.739974157041413,7.871388334430977
E07000098,8.0584848341523,7.181115989984494
E07000099,8.030729397010273,7.358955015074178
E07000102,8.479649568736379,7.731089801602069
E07000103,7.882738596379796,7.259931169106253
E07000105,7.335922630834262,7.606173351375934
E07000106,7.4619120768327525,7.334093913023769
E07000107,7.76230374901805,7.587151502247174
E07000108,6.985828008776404,7.427929187090595
E07000109,7.1860701950223085,7.654935473555503
E07000110,7.538639706766554,7.571161482051908
E07000111,9.631928534350276,6.619422659623395
E07000112,6.702537996616309,7.749031550431605
E07000113,7.646793689297075,6.711286081795025
E07000114,5.840407873759582,7.753243723455391
E07000115,8.039364100596128,7.314550264972226
E07000116,8.280194101217493,7.35349194252946
E07000143,8.742509923354591,6.452718483223287
E07000144,8.132815603484842,7.13210077393005
E07000145,6.0415040078243045,7.9628631048411815
E07000146,8.262192750100818,6.561053242034014
E07000147,8.826754144528554,6.189977415694205
E07000148,6.217311211300178,7.468002165262806
E07000149,9.312865202348314,6.2779311038142085
E07000179,9.94198234708389,6.500497170447912
E07000200,9.571665758551568,6.419514640291608
E07000202,6.654400097555896,7.461279567751856
E07000203,9.93657213474017,6.076689748493533
E07000207,8.593669181533947,7.299137476353544
E07000208,8.945115207396608,7.334620037805499
E07000209,8.566393243739187,7.317980857942229
E07000210,9.02145330201942,7.147428329500276
E07000211,8.255047998108871,7.429155378208245
E07000212,8.56999160338951,7.365073042256767
E07000213,8.075760763228775,7.670226968973784
E07000215,8.65648363096404,7.172071430417414
E07000216,10.176987988473252,6.1915493355096265
E07000217,8.544492186293105,7.173701975022056
E07000223,7.766227665038208,7.288569947526834
E07000224,7.36212151368317,7.566332302883785
E07000226,7.382928606342905,7.511068950439382
E07000227,9.930998764656849,6.2540855264876845
E07000228,8.578827620674476,7.111979390947181
E07000229,7.610557330188726,7.418331459068171
E07000240,8.447637983221115,7.260657782353246
E07000241,7.87684724026825,7.680036230962892
E07000242,8.417381920057457,7.139911460867385
E07000243,7.227008379925991,7.226614162026813
E09000001,10.27146412829608,6.5094110751810765
E09000002,5.367581648687799,7.671917077765124
E09000003,6.755314535821598,7.726704060354947
E09000004,6.999137656988098,8.192527828257628
E09000005,5.90453103751634,8.15559118681223
E09000006,7.238350163989878,8.009163966980111
E09000007,6.396415900908304,7.7253204874305625
E09000008,6.301908644407796,7.912447352417004
E09000010,5.611871199022321,8.414011201508913
E09000011,5.925252959096891,7.722114841298462
E09000012,5.354960394803173,7.494144009506682
E09000013,6.528503778441555,7.512932053284071
E09000014,5.823023264280886,8.2329362772701
E09000015,6.93583781183695,7.588311475825835
E09000016,7.009865190285961,7.9822397476958065
E09000017,6.723454123523033,8.025105795560824
E09000019,5.711141180438317,7.361912337660365
E09000020,7.207714956506812,8.215599205346445
E09000021,8.015856705192343,7.253738509785959
E09000022,6.007709852355894,7.362530605425372
E09000023,5.807691361958808,7.69431061124767
E09000024,7.249888626019879,8.149172746341561
E09000025,5.6323875104931265,7.559500919139022
E09000026,6.599573883835186,7.877374344134289
E09000027,8.217228310998479,7.229925860310225
E09000028,5.893200919814322,7.830861728281912
E09000029,7.43035000882011,7.678406020708085
E09000030,5.281738612678568,7.677796518204957
E09000031,6.100540388515264,7.406197862287185
E09000032,6.87305849045933,7.754296137868118
E09000033,6.640854917985194,7.831729477497116
