model,gust_ms,gust_z,predicted_level
E0_gust_dose_response,2.200000047683716,-1.4690251245293282,9.825098337467647
E0_gust_dose_response,2.710204143913425,-1.371335649974643,9.518798483492596
E0_gust_dose_response,3.2204082401431338,-1.2736461754199577,9.240153088724945
E0_gust_dose_response,3.7306123363728427,-1.1759567008652723,8.987274514346115
E0_gust_dose_response,4.240816432602552,-1.0782672263105872,8.758478233463277
E0_gust_dose_response,4.75102052883226,-0.980577751755902,8.552264215648496
E0_gust_dose_response,5.26122462506197,-0.8828882772012167,8.367300592076731
E0_gust_dose_response,5.771428721291679,-0.7851988026465313,8.20240935297248
E0_gust_dose_response,6.281632817521388,-0.6875093280918461,8.056553862791594
E0_gust_dose_response,6.791836913751096,-0.5898198535371609,7.928828008150837
E0_gust_dose_response,7.3020410099808055,-0.4921303789824756,7.818446819583888
E0_gust_dose_response,7.812245106210515,-0.39444090442779023,7.724738431278451
E0_gust_dose_response,8.322449202440223,-0.29675142987310504,7.647137263495943
E0_gust_dose_response,8.832653298669932,-0.19906195531841986,7.585178330796077
E0_gust_dose_response,9.342857394899642,-0.10137248076373433,7.538492595838971
E0_gust_dose_response,9.85306149112935,-0.0036830062090491503,7.50680330373347
E0_gust_dose_response,10.36326558735906,0.09400646834563603,7.489923245924895
E0_gust_dose_response,10.873469683588768,0.19169594290032121,7.487752915727633
E0_gust_dose_response,11.383673779818476,0.2893854174550064,7.500279530044198
E0_gust_dose_response,11.893877876048187,0.3870748920096919,7.527576903797163
E0_gust_dose_response,12.404081972277895,0.4847643665643771,7.569806175345935
E0_gust_dose_response,12.914286068507604,0.5824538411190623,7.627217392875591
E0_gust_dose_response,13.424490164737314,0.6801433156737478,7.700151983637027
E0_gust_dose_response,13.934694260967023,0.777832790228433,7.789046140197912
E0_gust_dose_response,14.444898357196731,0.8755222647831181,7.8944351707522875
E0_gust_dose_response,14.95510245342644,0.9732117393378034,8.016958874265772
E0_gust_dose_response,15.465306549656148,1.0709012138924885,8.157368016054937
E0_gust_dose_response,15.975510645885858,1.168590688447174,8.31653199558861
E0_gust_dose_response,16.48571474211557,1.2662801630018596,8.495447816161548
E0_gust_dose_response,16.995918838345276,1.3639696375565444,8.695250485969613
E0_gust_dose_response,17.506122934574986,1.46165911211123,8.917225002399144
E0_gust_dose_response,18.016327030804696,1.5593485866659154,9.162820096473753
E0_gust_dose_response,18.526531127034403,1.6570380612206004,9.433663942887977
E0_gust_dose_response,19.036735223264113,1.7547275357752858,9.731582073484198
E0_gust_dose_response,19.54693931949382,1.8524170103299706,10.05861776907577
E0_gust_dose_response,20.05714341572353,1.950106484884656,10.417055246971765
