Incident Reference,fold,new_date_utc,LAD21CD,y,prediction_eta,training_mean_baseline,prediction_source,target_scale,run_id,purpose
FREP-10768-O,0,2022-06-27,E09000003,-2.70805020110221,2.1836257267490553,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10793-O,0,2023-02-13,E07000071,0.0,1.3990963667030547,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10797-L,0,2023-01-17,E09000021,1.3523928094442093,1.3212895152856414,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10835-L,0,2023-02-28,E09000025,0.0,1.4300403258932977,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-1091781-A,0,2022-05-11,E06000056,0.08004270767353636,1.4198294497188206,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-10961-L,0,2023-06-15,E09000007,0.0,1.0690657597475006,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11013-L,0,2023-05-05,E09000023,0.0,1.00512985805751,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11043-O,0,2022-07-20,E09000005,4.54258531079647,1.617587043012461,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11048-O,0,2022-07-20,E07000098,1.3694872428035094,1.9788095864903676,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11057-L,0,2023-05-14,E09000023,-2.3025850929940455,1.0407518783075345,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11058-L,0,2023-05-14,E07000107,-0.7621400520468967,1.1129537792790132,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11163-O,0,2022-08-10,E06000055,0.0,1.0883373411437944,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-112167-Z,0,2021-09-14,E07000147,1.4701758451005926,1.953153821962837,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11243-L,0,2023-11-13,E09000023,0.0,1.2571500320172944,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11314-L,0,2023-11-20,E09000011,0.0,1.1695512518877251,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-1146613-A,0,2022-11-04,E09000014,0.0,1.336392108934711,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11756-O,0,2023-06-12,E09000016,0.0,1.11368943366449,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11763-O,0,2022-11-02,E07000145,0.0,1.2168836188032972,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11790-O,0,2022-11-04,E06000034,0.0,1.2597905524857533,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11831-O,0,2022-11-23,E07000069,0.0,1.3349980713025582,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11865-O,0,2022-11-29,E06000033,0.0,1.2062050556057686,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11911-O,0,2023-03-23,E06000056,0.0,1.0168120214193037,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-11981-O,0,2022-11-02,E06000060,1.7972996496036704,2.1017935686447036,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12216-O,0,2022-12-22,E07000076,0.0,1.239829963809155,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12232-O,0,2022-11-23,E07000099,0.0,1.4374295318490202,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12245-O,0,2022-12-30,E07000102,0.0,1.4303373775575978,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12268-O,0,2022-12-30,E07000179,0.0,1.2485076523359804,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12441-O,0,2023-01-17,E09000015,0.0,1.3702840427829828,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12457-O,0,2023-01-27,E09000003,0.0,1.1576694738978277,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12524-O,0,2023-03-23,E07000103,0.0,1.1240702186969793,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12546-O,0,2023-03-18,E09000015,0.0,1.1436300595204147,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12635-O,0,2022-12-22,E07000241,0.0,1.3697219317484826,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12649-O,0,2023-04-08,E09000017,0.0,1.120812672736295,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12663-O,0,2023-02-06,E09000015,0.0,1.3748053645898581,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12836-O,0,2023-02-23,E07000070,0.0,1.41945612585587,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12848-O,0,2023-01-21,E07000149,2.4350742760401247,1.3895069248446499,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12873-O,0,2023-03-02,E07000069,0.0,1.0618802142588653,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-129239-G,0,2021-05-12,E07000207,0.45953232937844013,2.0197208659040724,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-12992-O,0,2023-02-13,E07000143,0.0,1.195983017914624,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13009-W,0,2021-04-03,E07000116,2.307572634505085,1.6536397977999535,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13054-O,0,2023-03-23,E07000102,0.0,1.206870259711255,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13081-O,0,2023-02-13,E07000095,2.2027647577118348,2.3085854092221436,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13089-W,0,2021-05-02,E07000063,1.5187835441659694,1.962268568756567,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13109-O,0,2023-05-18,E07000096,0.0,0.9785931693704297,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13144-W,0,2021-05-18,E07000207,1.612765702526775,1.4940070801014134,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
FREP-13156-O,0,2023-02-22,E07000011,1.377926111449374,1.7314894272061472,1.627344763565853,OOF_date_group_diagnostic,log_D,R04_R1_input_compat_v1,R1_historical_compatibility_not_B1
