fold,n_test,n_train,sse,rmse,k
0,9834,41339,12344.749955992413,1.1204076020047797,14
1,10581,40592,14805.277307437242,1.1828915133014304,14
2,10833,40340,14829.820394206814,1.1700207773466098,14
3,9995,41178,13187.070989867469,1.1486369236525247,14
4,9930,41243,13661.453797782026,1.1729346999945742,14
