label,decile,n,x_min,x_max,x_median,y_mean,y_median,y_std
customers_v2_vs_duration_B_raw_scale,"(-0.001, 1.0]",21382,0.0,1.0,1.0,12.190276868393976,5.066666666666666,23.269057911270878
customers_v2_vs_duration_B_raw_scale,"(1.0, 2.0]",3089,2.0,2.0,2.0,14.501704974641198,8.966666666666667,19.866134138991146
customers_v2_vs_duration_B_raw_scale,"(2.0, 8.0]",4665,3.0,8.0,5.0,15.157674169346192,8.666666666666666,22.494826651714522
customers_v2_vs_duration_B_raw_scale,"(8.0, 23.0]",4487,9.0,23.0,15.0,13.331494688358964,8.2,19.669374992025574
customers_v2_vs_duration_B_raw_scale,"(23.0, 59.0]",4716,24.0,59.0,37.0,12.582481622844218,8.716666666666667,17.0679825739203
customers_v2_vs_duration_B_raw_scale,"(59.0, 212.0]",4723,60.0,212.0,102.0,10.309817206577739,6.466666666666667,15.5974827955696
customers_v2_vs_duration_B_raw_scale,"(212.0, 27013.0]",4778,213.0,27013.0,478.0,8.878718431700852,3.2666666666666666,18.964228011609368
