label,decile,n,x_min,x_max,x_median,y_mean,y_median,y_std
customers_v2_vs_duration_B_log_scale,"(-0.001, 0.693]",21382,0.0,0.6931471805599453,0.6931471805599453,1.5322194315733197,1.622683139184121,1.411425967388527
customers_v2_vs_duration_B_log_scale,"(0.693, 1.099]",3089,1.0986122886681098,1.0986122886681098,1.0986122886681098,2.139423781487708,2.1935139979396836,1.0759118831833383
customers_v2_vs_duration_B_log_scale,"(1.099, 2.197]",4665,1.3862943611198906,2.1972245773362196,1.791759469228055,2.0219220061640995,2.159484249353372,1.26902677519604
customers_v2_vs_duration_B_log_scale,"(2.197, 3.178]",4487,2.302585092994046,3.1780538303479458,2.772588722239781,1.915986160423697,2.1041341542702074,1.260768075948724
customers_v2_vs_duration_B_log_scale,"(3.178, 4.094]",4716,3.2188758248682006,4.0943445622221,3.6375861597263857,1.961090846145027,2.1652369018428224,1.1662127109881133
customers_v2_vs_duration_B_log_scale,"(4.094, 5.361]",4723,4.110873864173311,5.3612921657094255,4.634728988229636,1.6529234632831602,1.8666607774011728,1.2571585170867707
customers_v2_vs_duration_B_log_scale,"(5.361, 10.204]",4778,5.365976015021851,10.20411052912071,6.171700597410915,1.1753444085661646,1.1837700970084166,1.3873745182388213
