group,n,customers_v2_mean,customers_v2_median,customers_v2_p25,customers_v2_p75,customers_v2_p99,customers_v2_max
weather_natural,7705,195.14380272550292,28.0,2.0,215.0,1900.96,22130.0
technical_asset,40135,76.30302728292014,2.0,1.0,25.0,1398.9199999999546,27013.0
