term,coef
Intercept,2.8934279419697861
z_gust_0h,0.28857710118020202
z_precipitation_24h_sum,0.071917201381934609
z_temperature_0h,-0.13182880656444934
z_pressure_msl_0h,-0.10094809120676475
z_gust_sq,0.091276641114528587
z_temp_sq,0.060995441872419218
z_precip_sq,-0.0033108313708783803
z_gust_pressure,0.032176259991877218
z_gust_precip,-0.035495781293376494
urban_binary,0.0001945959137832035
log_population,-0.13848508235241772
income_deprivation_rate,-4.0719126001619061
deprivation_gap_pct,1.3511390330491886
morans_i,0.099807675785811609
incident_year[2022],0.24936272683487021
incident_year[2023],0.094217819258962679
incident_year[2024],-0.17819922300931132
incident_month[2],0.75337837596993606
incident_month[3],-0.35019440030459481
incident_month[4],-0.3169900833832297
incident_month[5],-0.22529943053969503
incident_month[6],0.12347674885279275
incident_month[7],0.080848221728483383
incident_month[8],0.090674642719020246
incident_month[9],-0.0031683098485445239
incident_month[10],-0.10216774923191724
incident_month[11],-0.26924444130789049
incident_month[12],-0.30455524296450182
z_customers_v2_log1p,-0.28876265987957356
z_cust_sq,0.09237911946968555
