fold,n_test,n_train,sse,rmse,k
0,2141,7113,3303.8338031870962,1.2422264223725452,28
1,1926,7328,3354.8505571909054,1.3198009851057226,28
2,1244,8010,1844.9940009329505,1.2178317407014518,28
3,1894,7360,3109.9058760150051,1.2813968000770202,28
4,2049,7205,3057.9661502619656,1.2216459446924413,28
