model,variable,S1,S1_conf,ST,ST_conf,ST_minus_S1,PAWN_median
E0 (exposure),gust_z,0.7840984332800276,0.0788822650793832,0.829989474174052,0.030858863963227443,0.045891040894024404,0.28439597873509537
E0 (exposure),pressure_z,0.1685501623524368,0.019046626051080963,0.2131147027150842,0.02080255106657581,0.0445645403626474,0.32116967833129584
R0c (recovery),gust_z,0.16777136706304083,0.023457217445383184,0.17112730561176853,0.01604297326786742,0.003355938548727705,0.10349923982622186
R0c (recovery),pressure_z,0.009741243751028443,0.003172850776853633,0.012348264533681748,0.0008215441571149921,0.002607020782653305,0.09586183072218205
R0c (recovery),customers_z,0.8183977502729002,0.04298459988064794,0.8192843253491342,0.026029424352254197,0.0008865750762340197,0.6258848234556242
