variable,best_distribution,ks_statistic,ks_pvalue
pressure_msl_0h,weibull_min,0.01188961975105185,7.491620811485344e-08
gust_0h,mielke,0.01668287536174831,4.7993803409546205e-15
temperature_0h,alpha,0.02170146914899751,3.656175312475101e-25
deprivation_gap_pct,foldnorm,0.052466755089158545,4.5044139370767825e-145
log_population,weibull_min,0.07254968668282824,3.792904204140373e-277
income_deprivation_rate,triang,0.07700891702616375,2.96020705672e-312
morans_i,dgamma,0.09209594141384053,0.0
precipitation_24h_sum,alpha,0.19887305660485854,0.0
