binning,bin,gust_min,gust_max,n_total,n_weather_technical,pct_weather_technical,customers_v2_mean_all6,customers_v2_mean_wt_only,duration_B_mean_all6,duration_B_mean_wt_only,pct_technical_asset,pct_non_fault_or_unknown,pct_weather_natural,pct_third_party,pct_external_or_customer,pct_human_error
equal_freq,"(0.399, 4.0]",0.4000000059604645,4.0,11868,5563,46.87394674755645,66.8464586846543,97.2529665587918,10.696572014380408,17.606270597399487,43.64678126053253,44.80114593865858,3.22716548702393,6.0246039770812265,1.7694641051567241,0.5308392315470172
equal_freq,"(4.0, 5.3]",4.099999904632568,5.300000190734863,11623,5688,48.937451604577134,73.95937688269214,107.46763981709462,10.760737331153747,16.312233356774495,45.100232298029766,41.89107803493074,3.837219306547363,7.1496171384324185,1.376580917147036,0.6452723049126732
equal_freq,"(5.3, 6.5]",5.400000095367432,6.5,12625,6130,48.554455445544555,63.56811157777954,87.00913689019416,10.947301650165015,17.85048395867319,44.11089108910891,41.17227722772277,4.443564356435643,8.174257425742574,1.5603960396039604,0.5386138613861385
equal_freq,"(6.5, 7.6]",6.599999904632568,7.599999904632568,11838,5929,50.08447372867039,65.84257693608387,82.23127530364373,10.74215943008391,17.163217518412324,45.176550092921104,39.11133637438757,4.907923635749282,8.734583544517655,1.706369319141747,0.3632370332826491
equal_freq,"(7.6, 8.6]",7.699999809265137,8.600000381469727,10922,5453,49.92675334187878,63.014385193329666,88.20550458715596,10.818769456143563,17.517241273916497,44.552279802234025,39.12287126899835,5.374473539644754,9.045962277971068,1.501556491485076,0.4028566196667277
equal_freq,"(8.6, 9.8]",8.699999809265137,9.800000190734863,12098,6064,50.123987435939824,58.72152840956083,74.93385021445067,9.933770044635477,15.461444591029025,44.70160357083815,38.320383534468505,5.422383865101669,9.513969251115887,1.4547859150272773,0.5868738634485039
equal_freq,"(9.8, 11.1]",9.899999618530272,11.100000381469728,11399,5799,50.87288358627949,57.896261190100056,72.97584124245039,10.9896365178232,17.585373915042823,44.6530397403281,37.70506184753049,6.219843845951399,9.456969909641197,1.5352223879287656,0.4298622686200544
equal_freq,"(11.1, 12.9]",11.199999809265137,12.899999618530272,11881,6219,52.34407878124737,60.77837655776356,79.39684836790481,10.312900148696798,15.888304657769202,44.65112364279101,36.200656510394744,7.692955138456359,9.553067923575457,1.5318575877451395,0.37033919703728646
equal_freq,"(12.9, 15.7]",13.0,15.699999809265137,11399,6097,53.4871479954382,60.80728389644581,78.68131868131869,11.270378980612335,16.12481821660926,43.02131765944381,36.643565225019735,10.465830335994387,7.94806561979121,1.5790858847267302,0.34213527502412494
equal_freq,"(15.7, 39.4]",15.800000190734863,39.400001525878906,11645,7511,64.4997853155861,119.83684165306298,148.89106405646558,16.29435952483183,22.668992144854215,31.63589523400601,29.763847144697298,32.863890081580074,4.310863031343924,1.2022327179046801,0.22327179046801202
