model,fold,beta1,beta2,turning_point_z
E0_prime_WT,0,-0.05480013851261845,0.12989870226615896,0.21093412619448051
E0_prime_WT,1,-0.03705719574193968,0.08434635075005398,0.2196727861514267
E0_prime_WT,2,-0.01643920803703176,0.10407779928991857,0.07897557475844963
E0_prime_WT,3,-0.02452546815497196,0.10675727412129865,0.1148655600137649
E0_prime_WT,4,-0.03293797538392541,0.10192402300459782,0.1615810209063253
