term,coef
Intercept,0.67681304743078596
z_precipitation_24h_sum,0.046803967555455475
z_temperature_0h,-0.073234607010902286
z_pressure_msl_0h,-0.04227870420669471
urban_binary,0.21715350167064318
log_population,0.066134893812718962
income_deprivation_rate,0.90005138783737448
deprivation_gap_pct,-0.13310719193380241
morans_i,0.27878510502831727
incident_year[2022],0.10180321284318673
incident_year[2023],0.0025242592333099543
incident_year[2024],-0.078998561042776236
incident_month[2],0.44253001143642501
incident_month[3],0.040968553513056054
incident_month[4],-0.011849432425076273
incident_month[5],-0.01098732546875685
incident_month[6],0.13460390108096587
incident_month[7],0.12322605294713333
incident_month[8],0.13573523780446925
incident_month[9],0.073513703639826664
incident_month[10],0.028768731154453362
incident_month[11],0.009568622828655067
incident_month[12],0.055563178469050817
z_customers_v2_log1p,-0.19592230664220628
z_cust_sq,-0.11143500130669171
z_temperature_sq,0.016634537953360156
z_gust_precip,-0.022806283970568563
z_gust_0h,-0.006696690110812269
z_gust_sq,0.068126334686554324
z_gust_cu,0.004229502337204755
